OV-ebike Driebergen-Zeist,db003,3,1692690585,OV_FIETS,Yes
Zeist,db002,19,1692690585,OV_FIETS,Yes
Driebergen-Zeist,db001,47,1692690585,OV_FIETS,Yes
Echt,ec001,0,1692690585,OV_FIETS,Yes
Raalte,rat001,1,1692690585,OV_FIETS,Yes
Dalfsen,dl001,2,1692690585,OV_FIETS,Yes
Rotterdam Slinge,rtd904,0,1692690585,OV_FIETS,Yes
Boxmeer,Bmr001,0,1692690585,OV_FIETS,Yes
Pijnacker,rtd906,2,1692690585,OV_FIETS,Yes
Nunspeet,Ns001,0,1692690585,OV_FIETS,Unknown
Maastricht Noord,mtn001,2,1692690585,OV_FIETS,Yes
Doetinchem de Huet,dtch001,2,1692690585,OV_FIETS,Yes
Utrecht Janskerkhof,ut018,2,1692690585,OV_FIETS,Yes
Delden,ddn001,4,1692690585,OV_FIETS,Yes
Muiden P&R,wp901,4,1692690585,OV_FIETS,Yes
Lage Zwaluwe,Zlw001,3,1692690585,OV_FIETS,Yes
Hengelo Gezondheidspark,hglg001,5,1692690585,OV_FIETS,Yes
Bodegraven,bdg001,0,1692690585,OV_FIETS,Yes
Utrecht Overvecht,uto001,0,1692690585,OV_FIETS,Yes
Soestdijk,sd001,0,1692690585,OV_FIETS,Yes
Delft Zuid,dtz001,,1692690585,OV_FIETS,Yes
Vught,Vg001,2,1692690585,OV_FIETS,Yes
Amsterdam Zuid Zuidplein,asdz001,4,1692690585,OV_FIETS,Yes
Heemskerk,hk001,5,1692690585,OV_FIETS,Yes
Amsterdam Zuid Mahlerplein,asdz003,1,1692690585,OV_FIETS,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR002,0,1692690585,OV_FIETS,Yes
Utrecht Zuilen,utzl001,3,1692690585,OV_FIETS,Yes
Alphen aan den Rijn,apn001,8,1692690585,OV_FIETS,Yes
Rotterdam Blaak,rtb001,1,1692690585,OV_FIETS,Yes
Vriezenveen,vz001,4,1692690585,OV_FIETS,Yes
Zwijndrecht,zwd003,21,1692690585,OV_FIETS,Yes
Eindhoven Noordzijde,ehv003,0,1692690585,OV_FIETS,Yes
Eindhoven Zuidzijde (centrum),ehv002,0,1692690585,OV_FIETS,Yes
Winschoten,ws001,8,1692690585,OV_FIETS,Yes
Overveen,ovn001,4,1692690585,OV_FIETS,Yes
Veghel,Btl003,8,1692690585,OV_FIETS,Yes
Naarden-Bussum,ndb003,1,1692690585,OV_FIETS,Yes
Woerden,wd001,22,1692690585,OV_FIETS,Yes
s-Hertogenbosch,ht001,11,1692690585,OV_FIETS,Yes
Baarn,brn002,14,1692690585,OV_FIETS,Yes
Waalwijk,ht002,1,1692690585,OV_FIETS,Yes
Kerkrade Centrum,krd001,2,1692690585,OV_FIETS,Yes
Veenendaal West,vndw001,6,1692690585,OV_FIETS,Yes
Aalten,atn001,4,1692690585,OV_FIETS,Yes
Haarlem Fiets Inn,hlm002,110,1692690585,OV_FIETS,Yes
Bilthoven,bhv002,0,1692690585,OV_FIETS,Yes
Purmerend,pmr001,1,1692690585,OV_FIETS,Yes
Hardenberg,hdb001,1,1692690585,OV_FIETS,Yes
Utrecht Centraal Knoop,ut021,28,1692690585,OV_FIETS,Yes
Beverwijk,bv002,29,1692690585,OV_FIETS,Yes
Boxtel,btl001,14,1692690585,OV_FIETS,Yes
Hoogezand Sappemeer,Hgz001,0,1692690585,OV_FIETS,Yes
Santpoort Noord,sptn001,7,1692690585,OV_FIETS,Yes
Amersfoort Vathorst,avat001,2,1692690585,OV_FIETS,Yes
Roermond,rm001,29,1692690585,OV_FIETS,Yes
Krommenie-Assendelft,kma001,2,1692690585,OV_FIETS,Yes
Heerlen,hrl002,12,1692690585,OV_FIETS,Yes
Rosmalen,rs001,0,1692690585,OV_FIETS,Yes
Vianen OV-fiets Carrousel,ut905,15,1692690585,OV_FIETS,Yes
Utrecht P+R Papendorp,ut904,4,1692690585,OV_FIETS,Yes
P + R Utrecht Science Park (De Uithof),ut906,7,1692690585,OV_FIETS,Yes
Arnhem Centrum,ah001,33,1692690585,OV_FIETS,Yes
Hoofddorp,hfd002,22,1692690585,OV_FIETS,Yes
