"description","locationCode","lat","lon","postalCode","houseNumber","city"
"Reuver","rv001","51.283199","6.079383","5953 HB","28","Reuver"
"Ede-Wageningen Zuidplein","ed002","52.027075","5.671595","6717 LV","1","Ede"
"Wijchen","wc001","51.81136","5.72893","6602 BN",,"Wijchen"
"Elst","est001","51.917265","5.853899","6662 AX","2","Elst"
"Apeldoorn","apd001","52.209578","5.9692","7311 NZ","12","Apeldoorn"
"Delft, Fietsenstalling","dt002","52.006473","4.35744","2611 BV","2","Delft"
"Rijswijk","rsw002","52.03988","4.31965","2283 CK","9","Rijswijk"
"Appingedam","Apg001","53.325252","6.863617","9901 CP","25","Appingedam"
"Middelburg","mdb001","51.49517","3.61768","4337 PA","22","Middelburg"
"Rijswijk","rsw001","52.03988","4.31965","2283 CK","9","Rijswijk"
