description,locationCode,rentalBikes,fetchTime,type,open
Utrecht Terwijde,utt001,3,1714794176,OV_FIETS,Yes
Brummen,bmn001,4,1714794176,OV_FIETS,Yes
Ermelo,eml001,4,1714794176,OV_FIETS,Unknown
Ravenstein,Rvs001,7,1714794176,OV_FIETS,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR001,54,1714794176,OV_FIETS,No
Nijmegen Goffert,nmgo001,4,1714794176,OV_FIETS,Yes
Lochem,lc001,3,1714794176,OV_FIETS,Yes
Bergen op Zoom,bgn002,14,1714794176,OV_FIETS,No
Oldenzaal,odz001,2,1714794176,OV_FIETS,Yes
Cuijk,ck001,16,1714794176,OV_FIETS,Yes
Veenendaal-De klomp,klp001,24,1714794176,OV_FIETS,Yes
Vroomshoop,vhp001,3,1714794176,OV_FIETS,Yes
Best,bet001,20,1714794176,OV_FIETS,No
Winterswijk,ww001,1,1714794176,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb003,0,1695282760,OV_FIETS,Yes
Boxtel - Kluis,btl004,8,1714794176,OV_FIETS,Yes
Zuidhorn,Zh001,7,1714794176,OV_FIETS,Yes
Houten Castellum,htnc001,40,1714794176,OV_FIETS,No
Voorhout,vh001,2,1714794176,OV_FIETS,Yes
Tilburg Reeshof,tbr001,1,1714794176,OV_FIETS,Yes
Harderwijk,hd001,49,1714794176,OV_FIETS,No
Utrecht P+R Westraven,ut007,12,1714794176,OV_FIETS,Yes
Den Haag HS,gv001,44,1714794175,OV_FIETS,Yes
Heerhugowaard,hwd003,27,1714794176,OV_FIETS,No
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,7,1714794175,OV_FIETS,Yes
Deventer Boerhavelaan,dv003,17,1714794176,OV_FIETS,Yes
Uden,Ow002,5,1714794176,OV_FIETS,Yes
Deventer,dv001,97,1714794176,OV_FIETS,No
"Leiden Centraal, Centrumzijde",ledn002,3,1714794176,OV_FIETS,No
Helmond Brandevoort,hmbv001,3,1714794176,OV_FIETS,Yes
Den Helder Zuid,hdrz001,5,1714794176,OV_FIETS,Yes
Castricum,cas002,41,1714794176,OV_FIETS,Yes
Sneek,sk001,6,1714794176,OV_FIETS,Yes
Geldrop,Gp001,6,1714794176,OV_FIETS,Yes
Oudenbosch,odb001,4,1714794176,OV_FIETS,Yes
Anna Paulowna,ana001,4,1714794176,OV_FIETS,Yes
Goes,gs003,21,1714794176,OV_FIETS,No
Amersfoort Schothorst,amfs001,25,1714794176,OV_FIETS,No
Roosendaal,rsd002,35,1714794175,OV_FIETS,No
OV-ebike Arnhem Centrum,ah003,16,1714794175,OV_FIETS,Yes
Gilze Rijen,gz001,4,1714794176,OV_FIETS,Yes
Halfweg Zwanenburg,hwzb001,6,1714794176,OV_FIETS,Yes
Hoorn Kersenboogerd,hnk001,5,1714794176,OV_FIETS,Yes
Hoorn,hn001,49,1714794176,OV_FIETS,Yes
Rotterdam Kralingse Zoom,Rta003,17,1714794176,OV_FIETS,Yes
Boskoop,bsk001,3,1714794176,OV_FIETS,Yes
Rijssen,rsn001,9,1714794176,OV_FIETS,Yes
Venlo,vl001,51,1714794176,OV_FIETS,Yes
Ommen,omn001,0,1714794176,OV_FIETS,Yes
Culemborg,cl003,25,1714794176,OV_FIETS,No
Groningen Noord,Gnn001,0,1714794176,OV_FIETS,Yes
Eindhoven Strijp-S,ehs001,0,1714794176,OV_FIETS,Yes
Haarlem Spaarnwoude,hlms001,5,1714794176,OV_FIETS,Yes
Voorburg,vb002,23,1714794175,OV_FIETS,No
Soest Zuid,stz001,0,1714794176,OV_FIETS,Yes
Haren,HRN002,5,1714794176,OV_FIETS,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,21,1714794176,OV_FIETS,Yes
Maarheeze,mz001,2,1714794176,OV_FIETS,Yes
Maastricht Randwyck,mtr001,2,1714794176,OV_FIETS,Yes
Amsterdam Muiderpoort,asdm001,19,1714794176,OV_FIETS,Yes
Dieren,dr001,3,1714794176,OV_FIETS,Yes
Wolfheze,wf001,4,1714794176,OV_FIETS,Yes
Meerssen,mes001,3,1714794176,OV_FIETS,Yes
Dordrecht,ddr001,54,1714794175,OV_FIETS,Yes
Maassluis,mss001,7,1714794176,OV_FIETS,No
Weesp,wp001,40,1714794176,OV_FIETS,Yes
Vierlingsbeek,vlb001,6,1714794176,OV_FIETS,Yes
Amsterdam Sloterdijk,ass001,138,1714794175,OV_FIETS,Yes
Gorinchem,gr001,4,1714794176,OV_FIETS,Yes
Rotterdam Alexander,rta001,0,1714794176,OV_FIETS,Yes
Valkenburg,vk001,1,1714794176,OV_FIETS,Yes
Almelo,aml002,19,1714794176,OV_FIETS,No
Bloemendaal,bll001,8,1714794176,OV_FIETS,Yes
Etten-Leur,etn001,5,1714794176,OV_FIETS,Yes
Heiloo,hlo001,13,1714794176,OV_FIETS,Yes
"Leiden Centraal,Uitgang LUMC",ledn001,81,1714794176,OV_FIETS,Yes
Purmerend Overwhere,pmo001,1,1714794176,OV_FIETS,Yes
Lelystad Centrum,lls003,12,1714794175,OV_FIETS,Yes
Utrecht Centraal Jaarbeursplein,ut016,252,1714794176,OV_FIETS,Yes
Zwolle Hanzeland,zl003,31,1714794176,OV_FIETS,Yes
Holten,hon001,8,1714794176,OV_FIETS,Yes
Wijhe,wh001,5,1714794176,OV_FIETS,Yes
Breda Prinsenbeek,bdpb001,6,1714794176,OV_FIETS,Yes
Zwolle,zl004,295,1714794176,OV_FIETS,Yes
Nijmegen,nm001,158,1714794175,OV_FIETS,No
Bovenkarspel-Grootebroek,bkg001,2,1714794176,OV_FIETS,Yes
OV-ebike Driebergen-Zeist,db003,30,1714794176,OV_FIETS,No
Zeist,db002,23,1714794176,OV_FIETS,Yes
Driebergen-Zeist,db001,134,1714794176,OV_FIETS,No
Echt,ec001,9,1714794176,OV_FIETS,Yes
Raalte,rat001,6,1714794176,OV_FIETS,Yes
Dalfsen,dl001,0,1714794176,OV_FIETS,Yes
Rotterdam Slinge,rtd904,6,1714794176,OV_FIETS,Yes
Boxmeer,Bmr001,15,1714794176,OV_FIETS,Yes
Pijnacker,rtd906,3,1714794176,OV_FIETS,Yes
Veenendaal Centrum,vndc002,3,1714794176,OV_FIETS,Yes
Nunspeet,Ns001,7,1714794176,OV_FIETS,Unknown
Maastricht Noord,mtn001,7,1714794176,OV_FIETS,Yes
Doetinchem de Huet,dtch001,11,1714794176,OV_FIETS,Yes
Utrecht Janskerkhof,ut018,8,1714794176,OV_FIETS,Yes
Delden,ddn001,4,1714794176,OV_FIETS,Yes
Muiden P&R,wp901,8,1714794176,OV_FIETS,Yes
Lage Zwaluwe,Zlw001,5,1714794176,OV_FIETS,Yes
Hengelo Gezondheidspark,hglg001,8,1714794176,OV_FIETS,Yes
Bodegraven,bdg001,5,1714794176,OV_FIETS,Yes
Utrecht Overvecht,uto001,11,1714794176,OV_FIETS,Yes
Soestdijk,sd001,3,1714794176,OV_FIETS,Yes
Delft Zuid,dtz001,,1714794176,OV_FIETS,Yes
Vught,Vg001,9,1714794176,OV_FIETS,Yes
Amsterdam Zuid Zuidplein,asdz001,126,1714794176,OV_FIETS,Yes
Heemskerk,hk001,2,1714794176,OV_FIETS,Yes
Amsterdam Zuid Mahlerplein,asdz003,47,1714794176,OV_FIETS,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR002,0,1700488276,OV_FIETS,Yes
Utrecht Zuilen,utzl001,3,1714794176,OV_FIETS,Yes
Alphen aan den Rijn,apn001,31,1714794176,OV_FIETS,No
Rotterdam Blaak,rtb001,13,1714794176,OV_FIETS,No
Vriezenveen,vz001,3,1714794176,OV_FIETS,Yes
Zwijndrecht,zwd003,24,1714794176,OV_FIETS,Yes
Eindhoven OV-fiets PopUp (naast AH),ehv004,34,1698620813,OV_FIETS,Yes
Eindhoven Noordzijde,ehv003,36,1714794176,OV_FIETS,No
Eindhoven Zuidzijde (centrum),ehv002,29,1714794175,OV_FIETS,No
Winschoten,ws001,4,1714794176,OV_FIETS,Yes
Overveen,ovn001,1,1714794176,OV_FIETS,Yes
Veghel,Btl003,8,1714794176,OV_FIETS,Yes
Naarden-Bussum,ndb003,53,1714794176,OV_FIETS,Yes
Woerden,wd001,49,1714794176,OV_FIETS,No
s-Hertogenbosch,ht001,233,1714794175,OV_FIETS,No
Baarn,brn002,31,1714794176,OV_FIETS,Yes
Waalwijk,ht002,4,1714794176,OV_FIETS,Yes
Kerkrade Centrum,krd001,6,1714794176,OV_FIETS,Yes
Veenendaal West,vndw001,6,1714794176,OV_FIETS,Yes
Aalten,atn001,4,1714794176,OV_FIETS,Yes
Haarlem Fiets Inn,hlm002,235,1714794175,OV_FIETS,Yes
Bilthoven,bhv002,29,1714794176,OV_FIETS,No
Purmerend,pmr001,2,1714794176,OV_FIETS,Yes
Hardenberg,hdb001,6,1714794176,OV_FIETS,Yes
Utrecht Centraal Knoop,ut021,181,1714794176,OV_FIETS,No
Beverwijk,bv002,56,1714794176,OV_FIETS,No
Boxtel,btl001,20,1714794176,OV_FIETS,No
Hoogezand Sappemeer,Hgz001,10,1714794176,OV_FIETS,Yes
Santpoort Noord,sptn001,6,1714794176,OV_FIETS,Yes
Amersfoort Vathorst,avat001,0,1714794176,OV_FIETS,Yes
Roermond,rm001,46,1714794176,OV_FIETS,No
Krommenie-Assendelft,kma001,4,1714794176,OV_FIETS,Yes
Heerlen,hrl002,28,1714794175,OV_FIETS,No
Rosmalen,rs001,7,1714794176,OV_FIETS,Yes
Vianen OV-fiets ,ut905,16,1714794176,OV_FIETS,Yes
Utrecht P+R Papendorp,ut904,3,1714794176,OV_FIETS,Yes
P + R Utrecht Science Park (De Uithof),ut906,8,1714794176,OV_FIETS,Yes
Arnhem Centrum,ah001,291,1714794175,OV_FIETS,Yes
Hoofddorp,hfd002,58,1714794175,OV_FIETS,Yes
Alkmaar,amr001,99,1714794176,OV_FIETS,Yes
Schagen,sgn001,1,1714794176,OV_FIETS,Yes
Rotterdam Centraal,rtd001,450,1714794176,OV_FIETS,Yes
Tilburg West Universiteit,tbu001,15,1714794176,OV_FIETS,Yes
Gouda Goverwelle,gdg001,4,1714794176,OV_FIETS,Yes
Den Haag Laan van NOI,laa001,0,1714794176,OV_FIETS,Yes
"Delft, Fietsenstalling",dt002,198,1714794176,OV_FIETS,Yes
Uitgeest,utg001,7,1714794176,OV_FIETS,Yes
Den Helder,hdr002,20,1714794175,OV_FIETS,No
Alkmaar Noord,amrn002,32,1714794176,OV_FIETS,No
Nootdorp,gvc901,4,1714794176,OV_FIETS,Yes
Houten,htn001,52,1714794176,OV_FIETS,No
Steenwijk,swk002,4,1714794176,OV_FIETS,No
Hoogeveen,hgv003,34,1714794176,OV_FIETS,No
Zutphen,zp001,83,1714794176,OV_FIETS,No
Breda Centrum,Bd003,78,1714794176,OV_FIETS,No
Den Haag Mariahoeve,gvm001,2,1714794176,OV_FIETS,Yes
Venray,vry001,3,1714794176,OV_FIETS,Yes
Barneveld Noord,bnn001,5,1714794176,OV_FIETS,Yes
Zaltbommel,zbm002,25,1714794176,OV_FIETS,No
Schiedam,sdm001,14,1714794175,OV_FIETS,Yes
Zoetermeer Centrum West,ztm002,,1714794176,OV_FIETS,No
Borne,bn001,7,1714794176,OV_FIETS,Yes
Zevenbergen,Zvb001,8,1714794176,OV_FIETS,Yes
Driehuis,drh001,7,1714794176,OV_FIETS,Yes
Helmond Brouwhuis,hmbh001,4,1714794176,OV_FIETS,Yes
Nijmegen Heyendaal,nmh001,2,1714794176,OV_FIETS,Yes
Barendrecht,brd002,28,1714794175,OV_FIETS,Yes
Rheden,rh001,0,1714794176,OV_FIETS,Yes
Den Haag Centraal Koningin Julianaplein,gvc021,0,1695722302,OV_FIETS,Yes
Breda Belcrum,bd002,167,1714794176,OV_FIETS,No
Amsterdam Centraal IJzijde,asd008,226,1714794175,OV_FIETS,Yes
Amsterdam Noord,asd009,6,1714794175,OV_FIETS,No
Obdam,obd001,6,1714794176,OV_FIETS,Yes
Tiel,tl003,30,1714794176,OV_FIETS,No
OV-ebike Groningen,gn004,5,1714794175,OV_FIETS,Yes
Oss West,ow001,5,1714794176,OV_FIETS,Yes
Groningen,gn001,362,1714794175,OV_FIETS,Yes
Emmen,emn001,16,1714794176,OV_FIETS,No
Utrecht Lunetten,utl001,1,1714794176,OV_FIETS,Yes
Zandvoort,zvt001,19,1714794176,OV_FIETS,Yes
OV-fiets - Maastricht,mt001,119,1714794176,OV_FIETS,No
OV-ebike Maastricht,mt003,8,1714794176,OV_FIETS,No
Putten,pt001,0,1714794176,OV_FIETS,Yes
Heerenveen,hr002,,1714794176,OV_FIETS,No
Kampen,kpn003,20,1714794176,OV_FIETS,No
Veendam,Vdm001,10,1714794176,OV_FIETS,Yes
Didam,did001,5,1714794176,OV_FIETS,Yes
Gouda,gd001,114,1714794176,OV_FIETS,No
Heemstede-Aerdenhout,had002,21,1714794176,OV_FIETS,Yes
Rotterdam Fietspunt Wilhelminakade Prinsendam,Rtd003,12,1714794176,OV_FIETS,Yes
Rotterdam Fietspunt Marconiplein,Rtd004,6,1714794176,OV_FIETS,Yes
Enkhuizen,ekz001,17,1714794176,OV_FIETS,Unknown
Hellendoorn/Nijverdal OV-fiets Carrousel,nvd001,17,1714794176,OV_FIETS,Yes
Horst Sevenum,hrt001,5,1714794176,OV_FIETS,Yes
Goor,go001,1,1714794176,OV_FIETS,Yes
Sleeuwijk Tol West,GR002 ,3,1714794176,OV_FIETS,Yes
Barneveld Centrum,bnc001,5,1714794176,OV_FIETS,Yes
Zoetermeer Oost,ztmo001,2,1714794176,OV_FIETS,Yes
Oisterwijk,Ot001,2,1714794176,OV_FIETS,Yes
Duivendrecht,dvd001,0,1714794176,OV_FIETS,Yes
Helmond 't Hout,hmh001,3,1714794176,OV_FIETS,Yes
Dronten,DRON001,6,1714794176,OV_FIETS,Yes
Pijnacker Zuid,rtd907,2,1714794176,OV_FIETS,Yes
Utrecht Leidsche Rijn,utlr001,4,1714794176,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb002,19,1714794175,OV_FIETS,No
Sittard,std002,22,1714794176,OV_FIETS,No
Diemen,dmn001,1,1714794176,OV_FIETS,Yes
Amsterdam Centraal Stationsplein,asd010,154,1714794176,OV_FIETS,Yes
Zevenaar,zv001,6,1714794176,OV_FIETS,Yes
Hoogkarspel,hks001,3,1714794176,OV_FIETS,Yes
Westervoort,wtv001,11,1714794176,OV_FIETS,Yes
Bussum Zuid,bsmz001,3,1714794176,OV_FIETS,Yes
Amsterdam RAI,rai001,16,1714794176,OV_FIETS,Yes
Velp,vp001,5,1714794176,OV_FIETS,Yes
Leeuwarden,lw001,148,1714794175,OV_FIETS,No
Bunnik,bnk001,21,1714794176,OV_FIETS,Yes
Meppel,mp002,18,1714794176,OV_FIETS,No
Amsterdam Amstel,asa001,33,1714794175,OV_FIETS,Yes
Weert,wt003,21,1714794176,OV_FIETS,No
Ede-Wageningen Zuidzijde,ed001,172,1710712243,OV_FIETS,Yes
Oss,o002,20,1714794176,OV_FIETS,No
Delfzijl,Dz001,5,1714794176,OV_FIETS,Yes
Otterlo,ed901,19,1714794176,OV_FIETS,Yes
Winsum,Wsm001,1,1714794176,OV_FIETS,Yes
Schiphol,shl001,4,1714794176,OV_FIETS,Yes
Geldermalsen,gdm001,0,1714794176,OV_FIETS,Yes
Amsterdam Centraal Oost,asd002,180,1714794176,OV_FIETS,No
Vleuten,vtn001,1,1714794176,OV_FIETS,Yes
Hilversum,hvs001,220,1714794176,OV_FIETS,Yes
't Harde,Hde001,12,1714794176,OV_FIETS,Yes
Duiven ,dvn001,19,1714794176,OV_FIETS,Yes
Terborg,tbg001,0,1714794176,OV_FIETS,Yes
Den Haag Centraal Stichthage,gvc001,544,1714794175,OV_FIETS,Yes
Varsseveld,vsv001,3,1714794176,OV_FIETS,Yes
Santpoort Zuid,sptz001,8,1714794176,OV_FIETS,Yes
Tilburg Zuid,tb003,201,1714794176,OV_FIETS,No
Tilburg Noord,tb002,10,1714794176,OV_FIETS,No
Breukelen,bkl001,6,1714794176,OV_FIETS,Yes
Leiden de Vink,dvnk001,4,1714794176,OV_FIETS,Yes
Beesd,bsd001,4,1714794176,OV_FIETS,Yes
Deurne,dn001,4,1714794176,OV_FIETS,Yes
Rhenen,rhn001,4,1714794176,OV_FIETS,Yes
Zoetermeer Driemanspolder,ztm003,19,1714794176,OV_FIETS,No
Landgraaf,lg001,4,1714794176,OV_FIETS,Yes
Heeze-Leende,hze001,8,1714794176,OV_FIETS,Yes
Hilversum Sportpark ,hvsp001,13,1714794176,OV_FIETS,No
Olst,ost001,,1714794176,OV_FIETS,Yes
Maarssen,mas003,36,1714794175,OV_FIETS,Yes
Amersfoort Mondriaanplein,amf002,73,1714794176,OV_FIETS,Yes
Ede-Wageningen Zuidzijde,ed004,136,1714794175,OV_FIETS,No
Amersfoort Centraal,amf001,293,1714794175,OV_FIETS,Yes
Hillegom,hil001,3,1714794176,OV_FIETS,Yes
Utrecht Centraal Stationsplein,ut020,575,1714794176,OV_FIETS,Yes
Almere Centrum Landdrostdreef,alm001,51,1714794176,OV_FIETS,Yes
Doetinchem,dtc001,3,1714794176,OV_FIETS,Yes
Zaandam,ZD002,40,1714794176,OV_FIETS,Yes
Beilen,bl001,12,1714794176,OV_FIETS,No
Den Dolder,dld001,0,1714794176,OV_FIETS,Yes
's-Hertogenbosch Oost,Hto001,7,1714794176,OV_FIETS,Yes
Assen,asn001,170,1714794176,OV_FIETS,No
Vlissingen,vs001,16,1714794176,OV_FIETS,No
Enschede,es003,16,1714794175,OV_FIETS,No
Helmond,hm001,23,1714794176,OV_FIETS,No
Amsterdam Lelyplein,asdl001,3,1714794176,OV_FIETS,No
Sliedrecht,sdt001,4,1714794176,OV_FIETS,Yes
Voorschoten,vst001,0,1714794176,OV_FIETS,Yes
Diemen Zuid,dmnz001,1,1714794176,OV_FIETS,Yes
Appingedam,Apg001,6,1714794176,OV_FIETS,Yes
Rotterdam Lombardijen,rlb001,3,1714794176,OV_FIETS,No
Reuver,rv001,8,1714794176,OV_FIETS,Yes
