description,locationCode,rentalBikes,fetchTime,type,open
Utrecht Terwijde,utt001,4,1715298230,OV_FIETS,Yes
Brummen,bmn001,4,1715298230,OV_FIETS,Yes
Ermelo,eml001,4,1715298230,OV_FIETS,Unknown
Ravenstein,Rvs001,8,1715298230,OV_FIETS,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR001,61,1715298230,OV_FIETS,No
Nijmegen Goffert,nmgo001,2,1715298230,OV_FIETS,Yes
Lochem,lc001,3,1715298230,OV_FIETS,Yes
Bergen op Zoom,bgn002,19,1715298230,OV_FIETS,No
Oldenzaal,odz001,0,1715298230,OV_FIETS,Yes
Cuijk,ck001,13,1715298230,OV_FIETS,Yes
Veenendaal-De klomp,klp001,21,1715298230,OV_FIETS,Yes
Vroomshoop,vhp001,3,1715298230,OV_FIETS,Yes
Best,bet001,20,1715298230,OV_FIETS,No
Winterswijk,ww001,0,1715298230,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb003,0,1695282760,OV_FIETS,Yes
Boxtel - Kluis,btl004,8,1715298230,OV_FIETS,Yes
Zuidhorn,Zh001,7,1715298230,OV_FIETS,Yes
Houten Castellum,htnc001,30,1715298230,OV_FIETS,No
Voorhout,vh001,2,1715298230,OV_FIETS,Yes
Tilburg Reeshof,tbr001,1,1715298230,OV_FIETS,Yes
Harderwijk,hd001,57,1715298230,OV_FIETS,No
Utrecht P+R Westraven,ut007,13,1715298230,OV_FIETS,Yes
Den Haag HS,gv001,42,1715298230,OV_FIETS,Yes
Heerhugowaard,hwd003,16,1715298230,OV_FIETS,No
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,1,1715298230,OV_FIETS,Yes
Deventer Boerhavelaan,dv003,18,1715298230,OV_FIETS,Yes
Uden,Ow002,6,1715298230,OV_FIETS,Yes
Deventer,dv001,104,1715298230,OV_FIETS,No
"Leiden Centraal, Centrumzijde",ledn002,6,1715298230,OV_FIETS,No
Helmond Brandevoort,hmbv001,3,1715298230,OV_FIETS,Yes
Den Helder Zuid,hdrz001,4,1715298230,OV_FIETS,Yes
Castricum,cas002,34,1715298230,OV_FIETS,Yes
Sneek,sk001,3,1715298230,OV_FIETS,Yes
Geldrop,Gp001,5,1715298230,OV_FIETS,Yes
Oudenbosch,odb001,4,1715298230,OV_FIETS,Yes
Anna Paulowna,ana001,5,1715298230,OV_FIETS,Yes
Goes,gs003,18,1715298230,OV_FIETS,No
Amersfoort Schothorst,amfs001,24,1715298230,OV_FIETS,No
Roosendaal,rsd002,41,1715298230,OV_FIETS,Yes
OV-ebike Arnhem Centrum,ah003,15,1715298230,OV_FIETS,Yes
Gilze Rijen,gz001,3,1715298230,OV_FIETS,Yes
Halfweg Zwanenburg,hwzb001,2,1715298230,OV_FIETS,Yes
Hoorn Kersenboogerd,hnk001,4,1715298230,OV_FIETS,Yes
Hoorn,hn001,51,1715298230,OV_FIETS,No
Rotterdam Kralingse Zoom,Rta003,20,1715298230,OV_FIETS,Yes
Boskoop,bsk001,2,1715298230,OV_FIETS,Yes
Rijssen,rsn001,6,1715298230,OV_FIETS,Yes
Venlo,vl001,52,1715298230,OV_FIETS,No
Ommen,omn001,3,1715298230,OV_FIETS,Yes
Culemborg,cl003,24,1715298230,OV_FIETS,No
Groningen Noord,Gnn001,1,1715298230,OV_FIETS,Yes
Eindhoven Strijp-S,ehs001,2,1715298230,OV_FIETS,Yes
Haarlem Spaarnwoude,hlms001,2,1715298230,OV_FIETS,Yes
Voorburg,vb002,23,1715298230,OV_FIETS,No
Soest Zuid,stz001,2,1715298230,OV_FIETS,Yes
Haren,HRN002,2,1715298230,OV_FIETS,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,23,1715298230,OV_FIETS,Yes
Maarheeze,mz001,4,1715298230,OV_FIETS,Yes
Maastricht Randwyck,mtr001,0,1715298230,OV_FIETS,Yes
Amsterdam Muiderpoort,asdm001,17,1715298230,OV_FIETS,No
Dieren,dr001,3,1715298230,OV_FIETS,Yes
Wolfheze,wf001,3,1715298230,OV_FIETS,Yes
Meerssen,mes001,0,1715298230,OV_FIETS,Yes
Dordrecht,ddr001,46,1715298230,OV_FIETS,Yes
Maassluis,mss001,9,1715298230,OV_FIETS,No
Weesp,wp001,32,1715298230,OV_FIETS,No
Vierlingsbeek,vlb001,7,1715298230,OV_FIETS,Yes
Amsterdam Sloterdijk,ass001,137,1715298230,OV_FIETS,No
Gorinchem,gr001,8,1715298230,OV_FIETS,Yes
Rotterdam Alexander,rta001,0,1715298230,OV_FIETS,Yes
Valkenburg,vk001,0,1715298230,OV_FIETS,Yes
Almelo,aml002,18,1715298230,OV_FIETS,Yes
