description,locationCode,rentalBikes,fetchTime,type,open
Utrecht Terwijde,utt001,5,1697081041,OV_FIETS,Yes
Brummen,bmn001,5,1697081041,OV_FIETS,Yes
Ermelo,eml001,3,1697081042,OV_FIETS,Unknown
Ravenstein,Rvs001,6,1697081041,OV_FIETS,Yes
Nijmegen Goffert,nmgo001,2,1697081041,OV_FIETS,Yes
Lochem,lc001,5,1697081041,OV_FIETS,Yes
Bergen op Zoom,bgn002,25,1697081041,OV_FIETS,No
Oldenzaal,odz001,3,1697081041,OV_FIETS,Yes
Cuijk,ck001,17,1697081041,OV_FIETS,Yes
Veenendaal-De klomp,klp001,14,1697081041,OV_FIETS,Yes
Vroomshoop,vhp001,4,1697081041,OV_FIETS,Yes
Best,bet001,19,1697081042,OV_FIETS,No
Winterswijk,ww001,6,1697081041,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb003,0,1695282760,OV_FIETS,Yes
Boxtel - Kluis,btl004,6,1697081041,OV_FIETS,Yes
Zuidhorn,Zh001,,1697081041,OV_FIETS,Yes
Houten Castellum,htnc001,35,1697081041,OV_FIETS,No
Voorhout,vh001,0,1697081041,OV_FIETS,Yes
Tilburg Reeshof,tbr001,1,1697081041,OV_FIETS,Yes
Harderwijk,hd001,38,1697081041,OV_FIETS,No
Utrecht P+R Westraven,ut007,8,1697081042,OV_FIETS,Yes
Den Haag HS,gv001,51,1697081041,OV_FIETS,Yes
Heerhugowaard,hwd003,,1697081041,OV_FIETS,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,17,1697081041,OV_FIETS,Yes
Deventer Boerhavelaan,dv003,19,1697081041,OV_FIETS,Yes
Uden,Ow002,6,1697081041,OV_FIETS,Yes
Deventer,dv001,127,1697081041,OV_FIETS,Yes
"Leiden Centraal, Centrumzijde",ledn002,59,1697081042,OV_FIETS,No
Helmond Brandevoort,hmbv001,2,1697081041,OV_FIETS,Yes
Den Helder Zuid,hdrz001,7,1697081041,OV_FIETS,Yes
