description,locationCode,rentalBikes,fetchTime,type,open
Utrecht Terwijde,utt001,1,1713668063,OV_FIETS,Yes
Brummen,bmn001,3,1713668063,OV_FIETS,Yes
Ermelo,eml001,2,1713668063,OV_FIETS,Unknown
Ravenstein,Rvs001,6,1713668063,OV_FIETS,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR001,32,1713668063,OV_FIETS,No
Nijmegen Goffert,nmgo001,2,1713668063,OV_FIETS,Yes
Lochem,lc001,0,1713668063,OV_FIETS,Yes
Bergen op Zoom,bgn002,0,1713668063,OV_FIETS,No
Oldenzaal,odz001,1,1713668063,OV_FIETS,Yes
Cuijk,ck001,14,1713668063,OV_FIETS,Yes
Veenendaal-De klomp,klp001,26,1713668063,OV_FIETS,Yes
Vroomshoop,vhp001,4,1713668063,OV_FIETS,Yes
Best,bet001,25,1713668063,OV_FIETS,No
Winterswijk,ww001,2,1713668063,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb003,0,1695282760,OV_FIETS,Yes
Boxtel - Kluis,btl004,3,1713668063,OV_FIETS,Yes
Zuidhorn,Zh001,7,1713668063,OV_FIETS,Yes
Houten Castellum,htnc001,37,1713668063,OV_FIETS,No
Voorhout,vh001,1,1713668063,OV_FIETS,Yes
Tilburg Reeshof,tbr001,0,1713668063,OV_FIETS,Yes
Harderwijk,hd001,48,1713668063,OV_FIETS,No
Utrecht P+R Westraven,ut007,14,1713668063,OV_FIETS,Yes
Den Haag HS,gv001,22,1713668063,OV_FIETS,No
Heerhugowaard,hwd003,28,1713668063,OV_FIETS,No
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,5,1713668063,OV_FIETS,No
Deventer Boerhavelaan,dv003,16,1713668063,OV_FIETS,Yes
Uden,Ow002,5,1713668063,OV_FIETS,Yes
Deventer,dv001,73,1713668063,OV_FIETS,No
"Leiden Centraal, Centrumzijde",ledn002,2,1713668063,OV_FIETS,No
Helmond Brandevoort,hmbv001,2,1713668063,OV_FIETS,Yes
Den Helder Zuid,hdrz001,7,1713668063,OV_FIETS,Yes
Castricum,cas002,38,1713668063,OV_FIETS,No
Sneek,sk001,1,1713668063,OV_FIETS,Yes
Geldrop,Gp001,2,1713668063,OV_FIETS,Yes
Oudenbosch,odb001,1,1713668063,OV_FIETS,Yes
Anna Paulowna,ana001,4,1713668063,OV_FIETS,Yes
Goes,gs003,19,1713668063,OV_FIETS,No
Amersfoort Schothorst,amfs001,21,1713668063,OV_FIETS,No
Roosendaal,rsd002,50,1713668063,OV_FIETS,No
OV-ebike Arnhem Centrum,ah003,14,1713668063,OV_FIETS,No
Gilze Rijen,gz001,3,1713668063,OV_FIETS,Yes
Halfweg Zwanenburg,hwzb001,4,1713668063,OV_FIETS,Yes
Hoorn Kersenboogerd,hnk001,4,1713668063,OV_FIETS,Yes
Hoorn,hn001,36,1713668063,OV_FIETS,Yes
Rotterdam Kralingse Zoom,Rta003,9,1713668063,OV_FIETS,Yes
Boskoop,bsk001,2,1713668063,OV_FIETS,Yes
Rijssen,rsn001,6,1713668063,OV_FIETS,Yes
Venlo,vl001,51,1713668063,OV_FIETS,No
Ommen,omn001,3,1713668063,OV_FIETS,Yes
Culemborg,cl003,18,1713668063,OV_FIETS,No
Groningen Noord,Gnn001,0,1713668063,OV_FIETS,Yes
Eindhoven Strijp-S,ehs001,2,1713668063,OV_FIETS,Yes
Haarlem Spaarnwoude,hlms001,1,1713668063,OV_FIETS,Yes
Voorburg,vb002,20,1713668063,OV_FIETS,No
Soest Zuid,stz001,3,1713668063,OV_FIETS,Yes
Haren,HRN002,2,1713668063,OV_FIETS,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,23,1713668063,OV_FIETS,Yes
Maarheeze,mz001,2,1713668063,OV_FIETS,Yes
Maastricht Randwyck,mtr001,6,1713668063,OV_FIETS,Yes
Amsterdam Muiderpoort,asdm001,17,1713668063,OV_FIETS,No
Dieren,dr001,7,1713668063,OV_FIETS,Yes
Wolfheze,wf001,3,1713668063,OV_FIETS,Yes
Meerssen,mes001,4,1713668063,OV_FIETS,Yes
Dordrecht,ddr001,44,1713668063,OV_FIETS,No
Maassluis,mss001,9,1713668063,OV_FIETS,No
Weesp,wp001,33,1713668063,OV_FIETS,No
Vierlingsbeek,vlb001,3,1713668063,OV_FIETS,Yes
Amsterdam Sloterdijk,ass001,105,1713668063,OV_FIETS,No
Gorinchem,gr001,4,1713668063,OV_FIETS,Yes
Rotterdam Alexander,rta001,2,1713668063,OV_FIETS,Yes
Valkenburg,vk001,3,1713668063,OV_FIETS,Yes
Almelo,aml002,9,1713668063,OV_FIETS,No
Bloemendaal,bll001,4,1713668063,OV_FIETS,Yes
Etten-Leur,etn001,3,1713668063,OV_FIETS,Yes
Heiloo,hlo001,8,1713668063,OV_FIETS,Yes
"Leiden Centraal,Uitgang LUMC",ledn001,69,1713668063,OV_FIETS,Yes
