description,locationCode,rentalBikes,fetchTime,type,open
Utrecht Terwijde,utt001,8,1694661820,OV_FIETS,Yes
Brummen,bmn001,3,1694661820,OV_FIETS,Yes
Ermelo,eml001,0,1694661820,OV_FIETS,Unknown
Ravenstein,Rvs001,8,1694661820,OV_FIETS,Yes
Nijmegen Goffert,nmgo001,3,1694661820,OV_FIETS,Yes
Lochem,lc001,2,1694661820,OV_FIETS,Yes
Bergen op Zoom,bgn002,25,1694661820,OV_FIETS,No
Oldenzaal,odz001,3,1694661820,OV_FIETS,Yes
Cuijk,ck001,17,1694661820,OV_FIETS,Yes
Veenendaal-De klomp,klp001,22,1694661820,OV_FIETS,Yes
Vroomshoop,vhp001,4,1694661820,OV_FIETS,Yes
Best,bet001,18,1694661820,OV_FIETS,No
Winterswijk,ww001,1,1694661820,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb003,14,1694661820,OV_FIETS,No
Boxtel - Kluis,btl004,10,1694661820,OV_FIETS,Yes
Zuidhorn,Zh001,5,1694661820,OV_FIETS,Yes
Houten Castellum,htnc001,43,1694661820,OV_FIETS,No
Voorhout,vh001,3,1694661820,OV_FIETS,Yes
Tilburg Reeshof,tbr001,0,1694661820,OV_FIETS,Yes
Harderwijk,hd001,46,1694661820,OV_FIETS,No
Utrecht P+R Westraven,ut007,10,1694661820,OV_FIETS,Yes
Den Haag HS,gv001,40,1694661820,OV_FIETS,Yes
Heerhugowaard,hwd003,27,1694661820,OV_FIETS,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,15,1694661820,OV_FIETS,Yes
Deventer Boerhavelaan,dv003,16,1694661820,OV_FIETS,Yes
Uden,Ow002,7,1694661820,OV_FIETS,Yes
Deventer,dv001,101,1694661820,OV_FIETS,Yes
"Leiden Centraal, Centrumzijde",ledn002,81,1694661820,OV_FIETS,No
Helmond Brandevoort,hmbv001,3,1694661820,OV_FIETS,Yes
Den Helder Zuid,hdrz001,6,1694661820,OV_FIETS,Yes
Castricum,cas002,51,1694661820,OV_FIETS,Yes
Sneek,sk001,3,1694661820,OV_FIETS,Yes
Geldrop,Gp001,0,1694661820,OV_FIETS,Yes
Oudenbosch,odb001,4,1694661820,OV_FIETS,Yes
Anna Paulowna,ana001,3,1694661820,OV_FIETS,Yes
Goes,gs003,24,1694661820,OV_FIETS,No
Amersfoort Schothorst,amfs001,25,1694661820,OV_FIETS,No
Roosendaal,rsd002,47,1694661820,OV_FIETS,Yes
OV-ebike Arnhem Centrum,ah003,18,1694661820,OV_FIETS,Yes
Gilze Rijen,gz001,3,1694661820,OV_FIETS,Yes
Halfweg Zwanenburg,hwzb001,3,1694661820,OV_FIETS,Yes
Hoorn Kersenboogerd,hnk001,6,1694661820,OV_FIETS,Yes
Hoorn,hn001,55,1694661820,OV_FIETS,Yes
Rotterdam Kralingse Zoom,Rta003,15,1694661820,OV_FIETS,Yes
Boskoop,bsk001,4,1694661820,OV_FIETS,Yes
Rijssen,rsn001,4,1694661820,OV_FIETS,Yes
Venlo,vl001,54,1694661820,OV_FIETS,Yes
Ommen,omn001,3,1694661820,OV_FIETS,Yes
Culemborg,cl003,20,1694661820,OV_FIETS,No
Groningen Noord,Gnn001,0,1694661820,OV_FIETS,Yes
Eindhoven Strijp-S,ehs001,1,1694661820,OV_FIETS,Yes
Haarlem Spaarnwoude,hlms001,1,1694661820,OV_FIETS,Yes
Voorburg,vb002,27,1694661820,OV_FIETS,Yes
Soest Zuid,stz001,3,1694661820,OV_FIETS,Yes
Haren,HRN002,5,1694661820,OV_FIETS,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,23,1694661820,OV_FIETS,Yes
Maarheeze,mz001,2,1694661820,OV_FIETS,Yes
Maastricht Randwyck,mtr001,4,1694661820,OV_FIETS,Yes
Amsterdam Muiderpoort,asdm001,48,1694661820,OV_FIETS,Yes
Dieren,dr001,0,1694661820,OV_FIETS,Yes
Wolfheze,wf001,3,1694661820,OV_FIETS,Yes
Meerssen,mes001,4,1694661820,OV_FIETS,Yes
Dordrecht,ddr001,42,1694661820,OV_FIETS,Yes
Maassluis,mss001,8,1694661820,OV_FIETS,No
Weesp,wp001,34,1694661820,OV_FIETS,No
Vierlingsbeek,vlb001,6,1694661820,OV_FIETS,Yes
Amsterdam Sloterdijk,ass001,154,1694661820,OV_FIETS,Yes
Gorinchem,gr001,4,1694661820,OV_FIETS,Yes
Rotterdam Alexander,rta001,3,1694661820,OV_FIETS,Yes
Valkenburg,vk001,5,1694661820,OV_FIETS,Yes
Almelo,aml002,27,1694661820,OV_FIETS,Yes
Bloemendaal,bll001,1,1694661820,OV_FIETS,Yes
Etten-Leur,etn001,5,1694661820,OV_FIETS,Yes
Heiloo,hlo001,11,1694661820,OV_FIETS,Yes
"Leiden Centraal,Uitgang LUMC",ledn001,292,1694661820,OV_FIETS,Yes
Purmerend Overwhere,pmo001,3,1694661820,OV_FIETS,Yes
Lelystad Centrum,lls003,14,1694661820,OV_FIETS,Yes
Utrecht Centraal Jaarbeursplein,ut016,542,1694661820,OV_FIETS,Yes
Zwolle Hanzeland,zl003,18,1694661820,OV_FIETS,Yes
Holten,hon001,4,1694661820,OV_FIETS,Yes
Wijhe,wh001,4,1694661820,OV_FIETS,Yes
Breda Prinsenbeek,bdpb001,2,1694661820,OV_FIETS,Yes
Zwolle,zl004,284,1694661820,OV_FIETS,Yes
Nijmegen,nm001,168,1694661820,OV_FIETS,Yes
Bovenkarspel-Grootebroek,bkg001,2,1694661820,OV_FIETS,Yes
OV-ebike Driebergen-Zeist,db003,25,1694661820,OV_FIETS,No
Zeist,db002,15,1694661820,OV_FIETS,Yes
Driebergen-Zeist,db001,122,1694661820,OV_FIETS,No
Echt,ec001,7,1694661820,OV_FIETS,Yes
Raalte,rat001,1,1694661820,OV_FIETS,Yes
Dalfsen,dl001,3,1694661820,OV_FIETS,Yes
Rotterdam Slinge,rtd904,7,1694661820,OV_FIETS,Yes
Boxmeer,Bmr001,12,1694661820,OV_FIETS,Yes
Pijnacker,rtd906,3,1694661820,OV_FIETS,Yes
Nunspeet,Ns001,5,1694661820,OV_FIETS,Unknown
Maastricht Noord,mtn001,9,1694661820,OV_FIETS,Yes
Doetinchem de Huet,dtch001,5,1694661820,OV_FIETS,Yes
Utrecht Janskerkhof,ut018,6,1694661820,OV_FIETS,Yes
Delden,ddn001,0,1694661820,OV_FIETS,Yes
Muiden P&R,wp901,8,1694661820,OV_FIETS,Yes
Lage Zwaluwe,Zlw001,4,1694661820,OV_FIETS,Yes
Hengelo Gezondheidspark,hglg001,5,1694661820,OV_FIETS,Yes
Bodegraven,bdg001,8,1694661820,OV_FIETS,Yes
Utrecht Overvecht,uto001,5,1694661820,OV_FIETS,Yes
Soestdijk,sd001,4,1694661820,OV_FIETS,Yes
Delft Zuid,dtz001,,1694661820,OV_FIETS,Yes
Vught,Vg001,3,1694661820,OV_FIETS,Yes
Amsterdam Zuid Zuidplein,asdz001,40,1694661820,OV_FIETS,Yes
Heemskerk,hk001,4,1694661820,OV_FIETS,Yes
Amsterdam Zuid Mahlerplein,asdz003,39,1694661820,OV_FIETS,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR002,0,1694661820,OV_FIETS,No
Utrecht Zuilen,utzl001,5,1694661820,OV_FIETS,Yes
Alphen aan den Rijn,apn001,41,1694661820,OV_FIETS,No
Rotterdam Blaak,rtb001,10,1694661820,OV_FIETS,No
Vriezenveen,vz001,4,1694661820,OV_FIETS,Yes
Zwijndrecht,zwd003,26,1694661820,OV_FIETS,Yes
Eindhoven Noordzijde,ehv003,65,1694661820,OV_FIETS,No
Eindhoven Zuidzijde (centrum),ehv002,132,1694661820,OV_FIETS,Yes
Winschoten,ws001,5,1694661820,OV_FIETS,Yes
Overveen,ovn001,0,1694661820,OV_FIETS,Yes
Veghel,Btl003,7,1694661820,OV_FIETS,Yes
Naarden-Bussum,ndb003,51,1694661820,OV_FIETS,Yes
Woerden,wd001,49,1694661820,OV_FIETS,Yes
s-Hertogenbosch,ht001,183,1694661820,OV_FIETS,Yes
Baarn,brn002,32,1694661820,OV_FIETS,Yes
Waalwijk,ht002,5,1694661820,OV_FIETS,Yes
Kerkrade Centrum,krd001,3,1694661820,OV_FIETS,Yes
