description,locationCode,rentalBikes,fetchTime,open
Utrecht Terwijde,utt001,2,1688918975,Yes
Eindhoven Noordzijde,,86,1665662115,Yes
Brummen,bmn001,4,1688918975,Yes
Ermelo,eml001,4,1688918975,Unknown
Ravenstein,Rvs001,4,1688918975,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR001,54,1684854854,Yes
Bergen op Zoom,bgn001,19,1678694969,Yes
Lochem,lc001,6,1688918975,Yes
Schagen,sgn001,7,1688918975,Yes
Oldenzaal,odz001,2,1688918975,Yes
Cuijk,ck001,14,1688918975,Yes
Goes,gs003,12,1688918975,Yes
Vroomshoop,vhp001,4,1688918975,Yes
Best,bet001,17,1688918975,No
Winterswijk,ww001,3,1688918975,Yes
Amsterdam Bijlmer ArenA,asb003,20,1688918975,Yes
Utrecht Centraal Jaarbeursplein,ut016,416,1688918975,Yes
Zuidhorn,Zh001,7,1688918975,Yes
Soestdijk,sd001,2,1688918975,Yes
Utrecht Vaartsche Rijn Oosterkade,ut019,23,1683629913,Yes
Utrecht Janskerkhof,ut018,3,1688918975,Yes
Utrecht Vredenburg,ut006,29,1677604114,Yes
Harderwijk,hd001,24,1688918975,Yes
Zwijndrecht,zwd002,28,1675240492,Yes
Hengelo,hgl002,14,1688918975,Yes
Maarheeze,mz001,4,1688918975,Yes
Den Haag HS,gv001,55,1688918975,Yes
Heerhugowaard,hwd003,15,1688918975,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,14,1688918975,Yes
Deventer Boerhavelaan,dv003,20,1688918975,Yes
Uden,Ow002,8,1688918975,Yes
Deventer,dv001,110,1688918975,Yes
Steenwijk,swk001,10,1671526428,Yes
Helmond Brandevoort,hmbv001,3,1688918975,Yes
Den Helder Zuid,hdrz001,5,1688918975,Yes
"Leiden Centraal,Uitgang LUMC",ledn001,176,1688918975,Yes
Sneek,sk001,2,1688918975,Yes
Geldrop,Gp001,3,1688918975,Yes
Oudenbosch,odb001,3,1688918975,Yes
Anna Paulowna,ana001,1,1688918975,Yes
Horst Sevenum,hrt001,4,1688918975,Yes
Amersfoort Schothorst,amfs001,22,1688918975,Yes
Roosendaal,rsd003,47,1678695411,Yes
Roosendaal,rsd002,45,1688918975,Yes
OV-ebike Arnhem Centrum,ah003,11,1688918975,Yes
Gilze Rijen,gz001,3,1688918975,Yes
Emmen,emn001,19,1688918975,No
Halfweg Zwanenburg,hwzb001,0,1688918975,Yes
Hoorn Kersenboogerd,hnk001,3,1688918975,Yes
Hoorn,hn001,39,1688918975,Yes
Rotterdam Kralingse Zoom,Rta003,15,1688918975,Yes
Rhenen,rhn001,1,1688918975,Yes
Rijssen,rsn001,5,1688918975,Yes
Venlo,vl001,39,1688918975,Yes
Ommen,omn001,2,1688918975,Yes
Culemborg,cl002,13,1677764847,Yes
Culemborg,cl003,11,1688918975,Yes
Groningen Noord,Gnn001,7,1688918975,Yes
Culemborg,cl001,,1638967434,Yes
Voorburg,vb001,28,1675153509,Yes
Eindhoven Strijp-S,ehs001,0,1688918975,Yes
Haarlem Spaarnwoude,hlms001,0,1688918975,Yes
Dordrecht,ddr001,27,1688918975,Yes
Soest Zuid,stz001,2,1688918975,Yes
Haren,HRN002,0,1688918975,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,17,1688918975,Yes
Utrecht P+R Westraven,ut007,10,1688918975,Yes
Maastricht Randwyck,mtr001,6,1688918975,Yes
Amsterdam Muiderpoort,asdm001,15,1688918975,Yes
Castricum,cas001,54,1667467212,Yes
Wolfheze,wf001,4,1688918975,Yes
Meerssen,mes001,2,1688918975,Yes
Maassluis,mss001,10,1688918975,Yes
Weesp,wp001,21,1688918975,Yes
Weert,wt003,16,1688918975,Yes
Vierlingsbeek,vlb001,4,1688918975,Yes
Amsterdam Sloterdijk,ass001,44,1688918975,Yes
Gorinchem,gr001,0,1688918975,Yes
Rotterdam Alexander,rta001,1,1688918975,Yes
Valkenburg,vk001,4,1688918975,Yes
Almelo,aml002,0,1688918975,Yes
Bloemendaal,bll001,0,1688918975,Yes
Etten-Leur,etn001,2,1688918975,Yes
Almelo,aml001,19,1678718208,Yes
Heiloo,hlo001,4,1688918975,Yes
Utrecht Mariaplaats,ut014,14,1677604114,Yes
Purmerend Overwhere,pmo001,4,1688918975,Yes
Doetinchem,dtc001,1,1688918975,Yes
Lelystad Centrum,lls002,15,1666626240,Yes
Nijmegen Goffert,nmgo001,5,1688918975,Yes
Zandvoort Zilt-Bikes,zvt002,,1642524080,Yes
Zwolle Hanzeland/Zuidzijde,zl002,,1674641829,Yes
Holten,hon001,8,1688918975,Yes
Boskoop,bk001,3,1683629913,Yes
Breda Prinsenbeek,bdpb001,6,1688918975,Yes
Zwolle,zl004,241,1688918975,Yes
Baarn,brn002,22,1688918975,Yes
Nijmegen,nm001,140,1688918975,Yes
Bovenkarspel-Grootebroek,bkg001,3,1688918975,Yes
Dieren,dr001,3,1688918975,Yes
Zeist,db002,17,1688918975,Yes
Driebergen-Zeist,db001,120,1688918975,Yes
Echt,ec001,6,1688918975,Yes
Lelystad Centrum,lls003,11,1688918975,Yes
Middelburg,mdb002,20,1688918975,Yes
Raalte,rat001,3,1688918975,Yes
Dalfsen,dl001,0,1688918975,Yes
Rotterdam Slinge,rtd904,3,1688918975,Yes
Boxmeer,Bmr001,11,1688918975,Yes
Pijnacker,rtd906,3,1688918975,Yes
Veenendaal,vndc002,2,1659359068,Yes
Nunspeet,Ns001,5,1688918975,Unknown
Voorhout,vh001,4,1688918975,Yes
Maastricht Noord,mtn001,9,1688918975,Yes
Doetinchem de Huet,dtch001,4,1688918975,Yes
Delden,ddn001,1,1688918975,Yes
Muiden P&R,wp901,8,1688918975,Yes
't Harde,Hde001,3,1688918975,Yes
Hengelo Gezondheidspark,hglg001,5,1688918975,Yes
Bodegraven,bdg001,1,1688918975,Yes
Utrecht Overvecht,uto001,3,1688918975,Yes
Hilversum Sportpark ,hvsp001,12,1688918975,Yes
Delft Zuid,dtz001,,1688918975,Yes
