description,locationCode,rentalBikes,fetchTime,type,open
Utrecht Terwijde,utt001,1,1713601939,OV_FIETS,Yes
Brummen,bmn001,6,1713601939,OV_FIETS,Yes
Ermelo,eml001,3,1713601939,OV_FIETS,Unknown
Ravenstein,Rvs001,5,1713601939,OV_FIETS,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR001,35,1713601939,OV_FIETS,Yes
Nijmegen Goffert,nmgo001,0,1713601939,OV_FIETS,Yes
Lochem,lc001,0,1713601939,OV_FIETS,Yes
Bergen op Zoom,bgn002,17,1713601939,OV_FIETS,Yes
Oldenzaal,odz001,1,1713601939,OV_FIETS,Yes
Cuijk,ck001,13,1713601939,OV_FIETS,Yes
Veenendaal-De klomp,klp001,25,1713601939,OV_FIETS,Yes
Vroomshoop,vhp001,4,1713601939,OV_FIETS,Yes
Best,bet001,23,1713601939,OV_FIETS,No
Winterswijk,ww001,2,1713601939,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb003,0,1695282760,OV_FIETS,Yes
Boxtel - Kluis,btl004,0,1713601939,OV_FIETS,Yes
Zuidhorn,Zh001,6,1713601939,OV_FIETS,Yes
Houten Castellum,htnc001,39,1713601939,OV_FIETS,Yes
Voorhout,vh001,3,1713601939,OV_FIETS,Yes
Tilburg Reeshof,tbr001,1,1713601939,OV_FIETS,Yes
Harderwijk,hd001,49,1713601939,OV_FIETS,Yes
Utrecht P+R Westraven,ut007,13,1713601939,OV_FIETS,Yes
Den Haag HS,gv001,40,1713601939,OV_FIETS,Yes
Heerhugowaard,hwd003,24,1713601939,OV_FIETS,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,7,1713601939,OV_FIETS,Yes
Deventer Boerhavelaan,dv003,18,1713601939,OV_FIETS,Yes
Uden,Ow002,6,1713601939,OV_FIETS,Yes
Deventer,dv001,94,1713601939,OV_FIETS,Yes
"Leiden Centraal, Centrumzijde",ledn002,2,1713601939,OV_FIETS,No
Helmond Brandevoort,hmbv001,2,1713601939,OV_FIETS,Yes
Den Helder Zuid,hdrz001,5,1713601939,OV_FIETS,Yes
Castricum,cas002,39,1713601939,OV_FIETS,Yes
Sneek,sk001,2,1713601939,OV_FIETS,Yes
Geldrop,Gp001,4,1713601939,OV_FIETS,Yes
Oudenbosch,odb001,3,1713601939,OV_FIETS,Yes
Anna Paulowna,ana001,3,1713601939,OV_FIETS,Yes
Goes,gs003,18,1713601939,OV_FIETS,Yes
Amersfoort Schothorst,amfs001,20,1713601939,OV_FIETS,Yes
Roosendaal,rsd002,52,1713601939,OV_FIETS,Yes
OV-ebike Arnhem Centrum,ah003,9,1713601939,OV_FIETS,Yes
Gilze Rijen,gz001,5,1713601939,OV_FIETS,Yes
Halfweg Zwanenburg,hwzb001,5,1713601939,OV_FIETS,Yes
Hoorn Kersenboogerd,hnk001,5,1713601939,OV_FIETS,Yes
Hoorn,hn001,43,1713601939,OV_FIETS,Yes
Rotterdam Kralingse Zoom,Rta003,23,1713601939,OV_FIETS,Yes
Boskoop,bsk001,1,1713601939,OV_FIETS,Yes
Rijssen,rsn001,5,1713601939,OV_FIETS,Yes
Venlo,vl001,48,1713601939,OV_FIETS,Yes
Ommen,omn001,3,1713601939,OV_FIETS,Yes
Culemborg,cl003,19,1713601939,OV_FIETS,Yes
Groningen Noord,Gnn001,2,1713601939,OV_FIETS,Yes
Eindhoven Strijp-S,ehs001,3,1713601939,OV_FIETS,Yes
Haarlem Spaarnwoude,hlms001,1,1713601939,OV_FIETS,Yes
Voorburg,vb002,22,1713601939,OV_FIETS,Yes
Soest Zuid,stz001,2,1713601939,OV_FIETS,Yes
Haren,HRN002,3,1713601939,OV_FIETS,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,25,1713601939,OV_FIETS,Yes
Maarheeze,mz001,2,1713601939,OV_FIETS,Yes
Maastricht Randwyck,mtr001,7,1713601939,OV_FIETS,Yes
Amsterdam Muiderpoort,asdm001,26,1713601939,OV_FIETS,Yes
Dieren,dr001,3,1713601939,OV_FIETS,Yes
Wolfheze,wf001,1,1713601939,OV_FIETS,Yes
Meerssen,mes001,4,1713601939,OV_FIETS,Yes
Dordrecht,ddr001,40,1713601939,OV_FIETS,Yes
Maassluis,mss001,9,1713601939,OV_FIETS,Yes
Weesp,wp001,33,1713601939,OV_FIETS,Yes
Vierlingsbeek,vlb001,5,1713601939,OV_FIETS,Yes
Amsterdam Sloterdijk,ass001,118,1713601939,OV_FIETS,Yes
Gorinchem,gr001,8,1713601939,OV_FIETS,Yes
Rotterdam Alexander,rta001,1,1713601939,OV_FIETS,Yes
