description,locationCode,rentalBikes,fetchTime,open
Utrecht Terwijde,utt001,3,1688587770,Yes
Eindhoven Noordzijde,,86,1665662115,Yes
Brummen,bmn001,2,1688587770,Yes
Ermelo,eml001,2,1688587770,Unknown
Ravenstein,Rvs001,4,1688587770,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR001,54,1684854854,Yes
Bergen op Zoom,bgn001,19,1678694969,Yes
Lochem,lc001,8,1688587770,Yes
Schagen,sgn001,11,1688587770,Yes
Oldenzaal,odz001,1,1688587770,Yes
Cuijk,ck001,14,1688587770,Yes
Goes,gs003,18,1688587770,Yes
Vroomshoop,vhp001,4,1688587770,Yes
Best,bet001,23,1688587770,No
Winterswijk,ww001,5,1688587770,Yes
Amsterdam Bijlmer ArenA,asb003,4,1688587770,Yes
Utrecht Centraal Jaarbeursplein,ut016,511,1688587770,Yes
Zuidhorn,Zh001,8,1688587770,Yes
Soestdijk,sd001,3,1688587770,Yes
Utrecht Vaartsche Rijn Oosterkade,ut019,23,1683629913,Yes
Utrecht Janskerkhof,ut018,1,1688587770,Yes
Utrecht Vredenburg,ut006,29,1677604114,Yes
Harderwijk,hd001,39,1688587770,Yes
Zwijndrecht,zwd002,28,1675240492,Yes
Hengelo,hgl002,22,1688587770,Yes
Maarheeze,mz001,3,1688587770,Yes
Den Haag HS,gv001,47,1688587770,Yes
Heerhugowaard,hwd003,24,1688587770,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,20,1688587770,Yes
Deventer Boerhavelaan,dv003,0,1688587770,Yes
Uden,Ow002,8,1688587770,Yes
Deventer,dv001,127,1688587770,Yes
Steenwijk,swk001,10,1671526428,Yes
Helmond Brandevoort,hmbv001,4,1688587770,Yes
Den Helder Zuid,hdrz001,5,1688587770,Yes
"Leiden Centraal,Uitgang LUMC",ledn001,225,1688587770,Yes
Sneek,sk001,3,1688587770,Yes
Geldrop,Gp001,2,1688587770,Yes
Oudenbosch,odb001,3,1688587770,Yes
Anna Paulowna,ana001,2,1688587770,Yes
Horst Sevenum,hrt001,5,1688587770,Yes
Amersfoort Schothorst,amfs001,21,1688587770,Yes
Roosendaal,rsd003,47,1678695411,Yes
Roosendaal,rsd002,43,1688587770,Yes
