description,locationCode,rentalBikes,fetchTime,type,open
Utrecht Terwijde,utt001,6,1697556357,OV_FIETS,Yes
Brummen,bmn001,2,1697556357,OV_FIETS,Yes
Ermelo,eml001,3,1697556357,OV_FIETS,Unknown
Ravenstein,Rvs001,7,1697556357,OV_FIETS,Yes
Nijmegen Goffert,nmgo001,1,1697556357,OV_FIETS,Yes
Lochem,lc001,5,1697556357,OV_FIETS,Yes
Bergen op Zoom,bgn002,16,1697556357,OV_FIETS,Yes
Oldenzaal,odz001,1,1697556357,OV_FIETS,Yes
Cuijk,ck001,8,1697556357,OV_FIETS,Yes
Veenendaal-De klomp,klp001,20,1697556357,OV_FIETS,Yes
Vroomshoop,vhp001,4,1697556357,OV_FIETS,Yes
Best,bet001,21,1697556357,OV_FIETS,Yes
Winterswijk,ww001,5,1697556357,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb003,0,1695282760,OV_FIETS,Yes
Boxtel - Kluis,btl004,8,1697556357,OV_FIETS,Yes
Zuidhorn,Zh001,8,1697556357,OV_FIETS,Yes
Houten Castellum,htnc001,36,1697556357,OV_FIETS,Yes
Voorhout,vh001,0,1697556357,OV_FIETS,Yes
Tilburg Reeshof,tbr001,0,1697556357,OV_FIETS,Yes
Harderwijk,hd001,42,1697556357,OV_FIETS,Yes
Utrecht P+R Westraven,ut007,12,1697556357,OV_FIETS,Yes
Den Haag HS,gv001,17,1697556357,OV_FIETS,Yes
Heerhugowaard,hwd003,22,1697556357,OV_FIETS,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,11,1697556357,OV_FIETS,Yes
Deventer Boerhavelaan,dv003,18,1697556357,OV_FIETS,Yes
Uden,Ow002,7,1697556357,OV_FIETS,Yes
Deventer,dv001,103,1697556357,OV_FIETS,Yes
"Leiden Centraal, Centrumzijde",ledn002,26,1697556357,OV_FIETS,Yes
Helmond Brandevoort,hmbv001,4,1697556357,OV_FIETS,Yes
Den Helder Zuid,hdrz001,3,1697556357,OV_FIETS,Yes
Castricum,cas002,47,1697556357,OV_FIETS,Yes
Sneek,sk001,2,1697556357,OV_FIETS,Yes
Geldrop,Gp001,7,1697556357,OV_FIETS,Yes
Oudenbosch,odb001,4,1697556357,OV_FIETS,Yes
