description,locationCode,rentalBikes,fetchTime,type,open
Utrecht Terwijde,utt001,6,1693329860,OV_FIETS,Yes
Brummen,bmn001,2,1693329860,OV_FIETS,Yes
Ermelo,eml001,2,1693329860,OV_FIETS,Unknown
Ravenstein,Rvs001,6,1693329860,OV_FIETS,Yes
Nijmegen Goffert,nmgo001,3,1693329860,OV_FIETS,Yes
Lochem,lc001,2,1693329860,OV_FIETS,Yes
Bergen op Zoom,bgn002,20,1693329860,OV_FIETS,Yes
Oldenzaal,odz001,2,1693329860,OV_FIETS,Yes
Cuijk,ck001,12,1693329860,OV_FIETS,Yes
Veenendaal-De klomp,klp001,11,1693329860,OV_FIETS,Yes
Vroomshoop,vhp001,3,1693329860,OV_FIETS,Yes
Best,bet001,20,1693329860,OV_FIETS,Yes
Winterswijk,ww001,2,1693329860,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb003,11,1693329860,OV_FIETS,Yes
Boxtel - Kluis,btl004,14,1693329860,OV_FIETS,Yes
Zuidhorn,Zh001,7,1693329860,OV_FIETS,Yes
Houten Castellum,htnc001,36,1693329860,OV_FIETS,Yes
Voorhout,vh001,4,1693329860,OV_FIETS,Yes
Tilburg Reeshof,tbr001,1,1693329860,OV_FIETS,Yes
Harderwijk,hd001,39,1693329860,OV_FIETS,Yes
Utrecht P+R Westraven,ut007,15,1693329860,OV_FIETS,Yes
Den Haag HS,gv001,35,1693329860,OV_FIETS,Yes
Heerhugowaard,hwd003,22,1693329860,OV_FIETS,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,15,1693329860,OV_FIETS,Yes
Deventer Boerhavelaan,dv003,20,1693329860,OV_FIETS,Yes
Uden,Ow002,5,1693329860,OV_FIETS,Yes
Deventer,dv001,115,1693329860,OV_FIETS,Yes
"Leiden Centraal, Centrumzijde",ledn002,71,1693329860,OV_FIETS,Yes
Helmond Brandevoort,hmbv001,4,1693329860,OV_FIETS,Yes
Den Helder Zuid,hdrz001,3,1693329860,OV_FIETS,Yes
Castricum,cas002,31,1693329860,OV_FIETS,Yes
Sneek,sk001,1,1693329860,OV_FIETS,Yes
Geldrop,Gp001,5,1693329860,OV_FIETS,Yes
Oudenbosch,odb001,4,1693329860,OV_FIETS,Yes
