description,locationCode,rentalBikes,fetchTime,open
Utrecht Terwijde,utt001,1,1689063131,Yes
Eindhoven Noordzijde,,86,1665662115,Yes
Brummen,bmn001,5,1689063131,Yes
Ermelo,eml001,0,1689063131,Unknown
Ravenstein,Rvs001,7,1689063131,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR001,54,1684854854,Yes
Bergen op Zoom,bgn001,19,1678694969,Yes
Lochem,lc001,3,1689063131,Yes
Schagen,sgn001,15,1689063131,Yes
Oldenzaal,odz001,1,1689063131,Yes
Cuijk,ck001,8,1689063131,Yes
Goes,gs003,3,1689063131,Yes
Vroomshoop,vhp001,4,1689063131,Yes
Best,bet001,0,1689063131,Yes
Winterswijk,ww001,3,1689063131,Yes
Amsterdam Bijlmer ArenA,asb003,19,1689063131,Yes
Utrecht Centraal Jaarbeursplein,ut016,12,1689063131,Yes
Zuidhorn,Zh001,7,1689063131,Yes
Soestdijk,sd001,1,1689063131,Yes
Utrecht Vaartsche Rijn Oosterkade,ut019,23,1683629913,Yes
Utrecht Janskerkhof,ut018,3,1689063131,Yes
Utrecht Vredenburg,ut006,29,1677604114,Yes
Harderwijk,hd001,23,1689063131,Yes
Zwijndrecht,zwd002,28,1675240492,Yes
Hengelo,hgl002,2,1689063131,Yes
Maarheeze,mz001,0,1689063131,Yes
Den Haag HS,gv001,2,1689063131,Yes
Heerhugowaard,hwd003,6,1689063131,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,7,1689063131,Yes
Deventer Boerhavelaan,dv003,20,1689063131,Yes
Uden,Ow002,7,1689063131,Yes
Deventer,dv001,57,1689063131,Yes
Steenwijk,swk001,10,1671526428,Yes
Helmond Brandevoort,hmbv001,3,1689063131,Yes
Den Helder Zuid,hdrz001,1,1689063131,Yes
"Leiden Centraal,Uitgang LUMC",ledn001,12,1689063131,Yes
Sneek,sk001,2,1689063131,Yes
Geldrop,Gp001,0,1689063131,Yes
Oudenbosch,odb001,1,1689063131,Yes
Anna Paulowna,ana001,3,1689063131,Yes
Horst Sevenum,hrt001,0,1689063131,Yes
Amersfoort Schothorst,amfs001,0,1689063131,Yes
Roosendaal,rsd003,47,1678695411,Yes
Roosendaal,rsd002,27,1689063131,Yes
OV-ebike Arnhem Centrum,ah003,0,1689063131,Yes
Gilze Rijen,gz001,4,1689063131,Yes
Emmen,emn001,15,1689063131,Yes
Halfweg Zwanenburg,hwzb001,0,1689063131,Yes
Hoorn Kersenboogerd,hnk001,5,1689063131,Yes
Hoorn,hn001,9,1689063131,Yes
Rotterdam Kralingse Zoom,Rta003,8,1689063131,Yes
Rhenen,rhn001,2,1689063131,Yes
Rijssen,rsn001,4,1689063131,Yes
Venlo,vl001,30,1689063131,Yes
Ommen,omn001,2,1689063131,Yes
Culemborg,cl002,13,1677764847,Yes
Culemborg,cl003,9,1689063131,Yes
Groningen Noord,Gnn001,3,1689063131,Yes
Culemborg,cl001,,1638967434,Yes
Voorburg,vb001,28,1675153509,Yes
Eindhoven Strijp-S,ehs001,0,1689063131,Yes
Haarlem Spaarnwoude,hlms001,1,1689063131,Yes
Dordrecht,ddr001,2,1689063131,Yes
Soest Zuid,stz001,1,1689063131,Yes
Haren,HRN002,0,1689063131,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,13,1689063131,Yes
Utrecht P+R Westraven,ut007,13,1689063131,Yes
Maastricht Randwyck,mtr001,1,1689063131,Yes
Amsterdam Muiderpoort,asdm001,5,1689063131,Yes
Castricum,cas001,54,1667467212,Yes
Wolfheze,wf001,3,1689063131,Yes
Meerssen,mes001,4,1689063131,Yes
Maassluis,mss001,10,1689063131,Yes
Weesp,wp001,1,1689063131,Yes
Weert,wt003,3,1689063131,Yes
Vierlingsbeek,vlb001,3,1689063131,Yes
Amsterdam Sloterdijk,ass001,0,1689063131,Yes
Gorinchem,gr001,1,1689063131,Yes
Rotterdam Alexander,rta001,3,1689063131,Yes
Valkenburg,vk001,0,1689063131,Yes
Almelo,aml002,0,1689063131,Yes
Bloemendaal,bll001,2,1689063131,Yes
Etten-Leur,etn001,0,1689063131,Yes
Almelo,aml001,19,1678718208,Yes
Heiloo,hlo001,10,1689063131,Yes
Utrecht Mariaplaats,ut014,14,1677604114,Yes
Purmerend Overwhere,pmo001,2,1689063131,Yes
Doetinchem,dtc001,2,1689063131,Yes
