description,locationCode,rentalBikes,fetchTime,type,open
Utrecht Terwijde,utt001,3,1703996154,OV_FIETS,Yes
Brummen,bmn001,5,1703996154,OV_FIETS,Yes
Ermelo,eml001,4,1703996154,OV_FIETS,Unknown
Ravenstein,Rvs001,7,1703996154,OV_FIETS,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR001,54,1703996154,OV_FIETS,No
Nijmegen Goffert,nmgo001,1,1703996154,OV_FIETS,Yes
Lochem,lc001,5,1703996154,OV_FIETS,Yes
Bergen op Zoom,bgn002,,1703996154,OV_FIETS,No
Oldenzaal,odz001,1,1703996154,OV_FIETS,Yes
Cuijk,ck001,15,1703996154,OV_FIETS,Yes
Veenendaal-De klomp,klp001,23,1703996154,OV_FIETS,Yes
Vroomshoop,vhp001,4,1703996154,OV_FIETS,Yes
Best,bet001,17,1703996154,OV_FIETS,No
Winterswijk,ww001,1,1703996154,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb003,0,1695282760,OV_FIETS,Yes
Boxtel - Kluis,btl004,8,1703996154,OV_FIETS,Yes
Zuidhorn,Zh001,6,1703996154,OV_FIETS,Yes
Houten Castellum,htnc001,32,1703996154,OV_FIETS,No
Voorhout,vh001,4,1703996154,OV_FIETS,Yes
Tilburg Reeshof,tbr001,3,1703996154,OV_FIETS,Yes
Harderwijk,hd001,55,1703996154,OV_FIETS,No
Utrecht P+R Westraven,ut007,14,1703996154,OV_FIETS,Yes
Den Haag HS,gv001,50,1703996154,OV_FIETS,No
Heerhugowaard,hwd003,28,1703996154,OV_FIETS,No
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,7,1703996154,OV_FIETS,No
Deventer Boerhavelaan,dv003,18,1703996154,OV_FIETS,Yes
Uden,Ow002,5,1703996154,OV_FIETS,Yes
Deventer,dv001,135,1703996154,OV_FIETS,No
"Leiden Centraal, Centrumzijde",ledn002,5,1703996154,OV_FIETS,No
Helmond Brandevoort,hmbv001,4,1703996154,OV_FIETS,Yes
Den Helder Zuid,hdrz001,6,1703996154,OV_FIETS,Yes
Castricum,cas002,55,1703996154,OV_FIETS,Yes
Sneek,sk001,5,1703996154,OV_FIETS,Yes
Geldrop,Gp001,6,1703996154,OV_FIETS,Yes
Oudenbosch,odb001,1,1703996154,OV_FIETS,Yes
Anna Paulowna,ana001,4,1703996154,OV_FIETS,Yes
Goes,gs003,25,1703996154,OV_FIETS,No
Amersfoort Schothorst,amfs001,30,1703996154,OV_FIETS,No
Roosendaal,rsd002,53,1703996154,OV_FIETS,No
OV-ebike Arnhem Centrum,ah003,18,1703996154,OV_FIETS,Yes
Gilze Rijen,gz001,5,1703996154,OV_FIETS,Yes
Halfweg Zwanenburg,hwzb001,3,1703996154,OV_FIETS,Yes
Hoorn Kersenboogerd,hnk001,2,1703996154,OV_FIETS,Yes
Hoorn,hn001,55,1703996154,OV_FIETS,Yes
Rotterdam Kralingse Zoom,Rta003,21,1703996154,OV_FIETS,Yes
Boskoop,bsk001,4,1703996154,OV_FIETS,Yes
Rijssen,rsn001,6,1703996154,OV_FIETS,Yes
Venlo,vl001,54,1703996154,OV_FIETS,No
Ommen,omn001,0,1703996154,OV_FIETS,Yes
Culemborg,cl003,13,1703996154,OV_FIETS,No
Groningen Noord,Gnn001,1,1703996154,OV_FIETS,Yes
Eindhoven Strijp-S,ehs001,0,1703996154,OV_FIETS,Yes
Haarlem Spaarnwoude,hlms001,4,1703996154,OV_FIETS,Yes
Voorburg,vb002,29,1703996154,OV_FIETS,No
Soest Zuid,stz001,4,1703996154,OV_FIETS,Yes
Haren,HRN002,2,1703996154,OV_FIETS,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,22,1703996154,OV_FIETS,Yes
Maarheeze,mz001,4,1703996154,OV_FIETS,Yes
Maastricht Randwyck,mtr001,0,1703996154,OV_FIETS,Yes
Amsterdam Muiderpoort,asdm001,1,1703996154,OV_FIETS,Yes
Dieren,dr001,7,1703996154,OV_FIETS,Yes
Wolfheze,wf001,4,1703996154,OV_FIETS,Yes
Meerssen,mes001,4,1703996154,OV_FIETS,Yes
Dordrecht,ddr001,57,1703996154,OV_FIETS,No
Maassluis,mss001,7,1703996154,OV_FIETS,No
Weesp,wp001,50,1703996154,OV_FIETS,No
Vierlingsbeek,vlb001,4,1703996154,OV_FIETS,Yes
Amsterdam Sloterdijk,ass001,61,1703996154,OV_FIETS,No
Gorinchem,gr001,2,1703996154,OV_FIETS,Yes
Rotterdam Alexander,rta001,3,1703996154,OV_FIETS,Yes
