description,locationCode,rentalBikes,fetchTime,open
Utrecht Terwijde,utt001,4,1689016042,Yes
Eindhoven Noordzijde,,86,1665662115,Yes
Brummen,bmn001,5,1689016042,Yes
Ermelo,eml001,4,1689016042,Unknown
Ravenstein,Rvs001,6,1689016042,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR001,54,1684854854,Yes
Bergen op Zoom,bgn001,19,1678694969,Yes
Lochem,lc001,7,1689016042,Yes
Schagen,sgn001,15,1689016042,Yes
Oldenzaal,odz001,2,1689016042,Yes
Cuijk,ck001,14,1689016042,Yes
Goes,gs003,15,1689016042,Yes
Vroomshoop,vhp001,4,1689016042,Yes
Best,bet001,17,1689016042,No
Winterswijk,ww001,4,1689016042,Yes
Amsterdam Bijlmer ArenA,asb003,24,1689016041,Yes
Utrecht Centraal Jaarbeursplein,ut016,521,1689016042,Yes
Zuidhorn,Zh001,6,1689016042,Yes
Soestdijk,sd001,2,1689016042,Yes
Utrecht Vaartsche Rijn Oosterkade,ut019,23,1683629913,Yes
Utrecht Janskerkhof,ut018,1,1689016042,Yes
Utrecht Vredenburg,ut006,29,1677604114,Yes
Harderwijk,hd001,30,1689016042,Yes
Zwijndrecht,zwd002,28,1675240492,Yes
Hengelo,hgl002,17,1689016041,Yes
Maarheeze,mz001,3,1689016042,Yes
Den Haag HS,gv001,39,1689016041,Yes
Heerhugowaard,hwd003,19,1689016042,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,19,1689016041,Yes
Deventer Boerhavelaan,dv003,20,1689016042,Yes
Uden,Ow002,6,1689016042,Yes
Deventer,dv001,125,1689016042,Yes
Steenwijk,swk001,10,1671526428,Yes
Helmond Brandevoort,hmbv001,4,1689016042,Yes
Den Helder Zuid,hdrz001,5,1689016042,Yes
"Leiden Centraal,Uitgang LUMC",ledn001,204,1689016042,Yes
Sneek,sk001,2,1689016042,Yes
Geldrop,Gp001,1,1689016042,Yes
Oudenbosch,odb001,3,1689016042,Yes
Anna Paulowna,ana001,2,1689016042,Yes
Horst Sevenum,hrt001,4,1689016042,Yes
Amersfoort Schothorst,amfs001,36,1689016042,Yes
Roosendaal,rsd003,47,1678695411,Yes
Roosendaal,rsd002,50,1689016041,Yes
OV-ebike Arnhem Centrum,ah003,11,1689016041,Yes
Gilze Rijen,gz001,5,1689016042,Yes
Emmen,emn001,18,1689016042,No
Halfweg Zwanenburg,hwzb001,2,1689016042,Yes
Hoorn Kersenboogerd,hnk001,5,1689016042,Yes
Hoorn,hn001,52,1689016042,Yes
Rotterdam Kralingse Zoom,Rta003,15,1689016042,Yes
Rhenen,rhn001,1,1689016042,Yes
Rijssen,rsn001,7,1689016042,Yes
Venlo,vl001,51,1689016042,Yes
Ommen,omn001,2,1689016042,Yes
Culemborg,cl002,13,1677764847,Yes
Culemborg,cl003,8,1689016042,Yes
Groningen Noord,Gnn001,4,1689016042,Yes
Culemborg,cl001,,1638967434,Yes
Voorburg,vb001,28,1675153509,Yes
Eindhoven Strijp-S,ehs001,0,1689016042,Yes
Haarlem Spaarnwoude,hlms001,2,1689016042,Yes
Dordrecht,ddr001,40,1689016041,Yes
Soest Zuid,stz001,3,1689016042,Yes
Haren,HRN002,0,1689016042,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,12,1689016042,Yes
Utrecht P+R Westraven,ut007,12,1689016042,Yes
Maastricht Randwyck,mtr001,1,1689016042,Yes
Amsterdam Muiderpoort,asdm001,24,1689016042,Yes
Castricum,cas001,54,1667467212,Yes
Wolfheze,wf001,4,1689016042,Yes
Meerssen,mes001,4,1689016042,Yes
Maassluis,mss001,10,1689016042,Yes
Weesp,wp001,26,1689016042,Yes
Weert,wt003,21,1689016042,Yes
Vierlingsbeek,vlb001,5,1689016042,Yes
Amsterdam Sloterdijk,ass001,113,1689016041,Yes
Gorinchem,gr001,1,1689016042,Yes
Rotterdam Alexander,rta001,3,1689016042,Yes
Valkenburg,vk001,0,1689016042,Yes
Almelo,aml002,0,1689016042,Yes
Bloemendaal,bll001,0,1689016042,Yes
Etten-Leur,etn001,2,1689016042,Yes
Almelo,aml001,19,1678718208,Yes
Heiloo,hlo001,8,1689016042,Yes
Utrecht Mariaplaats,ut014,14,1677604114,Yes
Purmerend Overwhere,pmo001,2,1689016042,Yes
Doetinchem,dtc001,3,1689016042,Yes
Lelystad Centrum,lls002,15,1666626240,Yes
Nijmegen Goffert,nmgo001,1,1689016042,Yes
Zandvoort Zilt-Bikes,zvt002,,1642524080,Yes
Zwolle Hanzeland/Zuidzijde,zl002,,1674641829,Yes
