description,locationCode,rentalBikes,fetchTime,type,open
Utrecht Terwijde,utt001,5,1692302907,OV_FIETS,Yes
Brummen,bmn001,5,1692302907,OV_FIETS,Yes
Ermelo,eml001,1,1692302907,OV_FIETS,Unknown
Ravenstein,Rvs001,4,1692302907,OV_FIETS,Yes
Nijmegen Goffert,nmgo001,5,1692302907,OV_FIETS,Yes
Lochem,lc001,7,1692302907,OV_FIETS,Yes
Bergen op Zoom,bgn002,21,1692302907,OV_FIETS,Yes
Oldenzaal,odz001,3,1692302907,OV_FIETS,Yes
Cuijk,ck001,19,1692302907,OV_FIETS,Yes
Veenendaal-De klomp,klp001,25,1692302907,OV_FIETS,Yes
Vroomshoop,vhp001,2,1692302907,OV_FIETS,Yes
Best,bet001,13,1692302907,OV_FIETS,No
Winterswijk,ww001,5,1692302907,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb003,16,1692302907,OV_FIETS,Yes
Boxtel - Kluis,btl004,1,1692302907,OV_FIETS,Yes
Zuidhorn,Zh001,7,1692302907,OV_FIETS,Yes
Houten Castellum,htnc001,34,1692302907,OV_FIETS,Yes
Voorhout,vh001,3,1692302907,OV_FIETS,Yes
Tilburg Reeshof,tbr001,2,1692302907,OV_FIETS,Yes
Harderwijk,hd001,33,1692302907,OV_FIETS,Yes
Utrecht P+R Westraven,ut007,12,1692302907,OV_FIETS,Yes
Den Haag HS,gv001,29,1692302907,OV_FIETS,Yes
Heerhugowaard,hwd003,23,1692302907,OV_FIETS,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,4,1692302907,OV_FIETS,Yes
Deventer Boerhavelaan,dv003,18,1692302907,OV_FIETS,Yes
Uden,Ow002,8,1692302907,OV_FIETS,Yes
Deventer,dv001,137,1692302907,OV_FIETS,Yes
"Leiden Centraal, Centrumzijde",ledn002,42,1692302907,OV_FIETS,No
Helmond Brandevoort,hmbv001,2,1692302907,OV_FIETS,Yes
Den Helder Zuid,hdrz001,4,1692302907,OV_FIETS,Yes
Castricum,cas002,41,1692302907,OV_FIETS,Yes
Sneek,sk001,4,1692302907,OV_FIETS,Yes
Geldrop,Gp001,4,1692302907,OV_FIETS,Yes
Oudenbosch,odb001,4,1692302907,OV_FIETS,Yes
Anna Paulowna,ana001,1,1692302907,OV_FIETS,Yes
Goes,gs003,29,1692302907,OV_FIETS,Yes
Amersfoort Schothorst,amfs001,23,1692302907,OV_FIETS,Yes
Roosendaal,rsd002,51,1692302907,OV_FIETS,Yes
OV-ebike Arnhem Centrum,ah003,13,1692302907,OV_FIETS,Yes
Gilze Rijen,gz001,8,1692302907,OV_FIETS,Yes
Halfweg Zwanenburg,hwzb001,5,1692302907,OV_FIETS,Yes
Hoorn Kersenboogerd,hnk001,6,1692302907,OV_FIETS,Yes
Hoorn,hn001,63,1692302907,OV_FIETS,Yes
Rotterdam Kralingse Zoom,Rta003,20,1692302907,OV_FIETS,Yes
Boskoop,bsk001,1,1692302907,OV_FIETS,Yes
Rijssen,rsn001,2,1692302907,OV_FIETS,Yes
Venlo,vl001,37,1692302907,OV_FIETS,Yes
Ommen,omn001,0,1692302907,OV_FIETS,Yes
Culemborg,cl003,15,1692302907,OV_FIETS,Yes
Groningen Noord,Gnn001,0,1692302907,OV_FIETS,Yes
Eindhoven Strijp-S,ehs001,0,1692302907,OV_FIETS,Yes
Haarlem Spaarnwoude,hlms001,1,1692302907,OV_FIETS,Yes
Voorburg,vb002,25,1692302907,OV_FIETS,Yes
Soest Zuid,stz001,6,1692302907,OV_FIETS,Yes
Haren,HRN002,6,1692302907,OV_FIETS,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,23,1692302907,OV_FIETS,Yes
Maarheeze,mz001,3,1692302907,OV_FIETS,Yes
Maastricht Randwyck,mtr001,6,1692302907,OV_FIETS,Yes
Amsterdam Muiderpoort,asdm001,42,1692302907,OV_FIETS,Yes
Dieren,dr001,3,1692302907,OV_FIETS,Yes
Wolfheze,wf001,4,1692302907,OV_FIETS,Yes
Meerssen,mes001,4,1692302907,OV_FIETS,Yes
Dordrecht,ddr001,54,1692302907,OV_FIETS,Yes
Maassluis,mss001,10,1692302907,OV_FIETS,Yes
Weesp,wp001,36,1692302907,OV_FIETS,Yes
Vierlingsbeek,vlb001,6,1692302907,OV_FIETS,Yes
Amsterdam Sloterdijk,ass001,130,1692302907,OV_FIETS,Yes
Gorinchem,gr001,0,1692302907,OV_FIETS,Yes
Rotterdam Alexander,rta001,2,1692302907,OV_FIETS,Yes
Valkenburg,vk001,5,1692302907,OV_FIETS,Yes
Almelo,aml002,27,1692302907,OV_FIETS,Yes
Bloemendaal,bll001,0,1692302907,OV_FIETS,Yes
Etten-Leur,etn001,3,1692302907,OV_FIETS,Yes
Heiloo,hlo001,10,1692302907,OV_FIETS,Yes
"Leiden Centraal,Uitgang LUMC",ledn001,97,1692302907,OV_FIETS,Yes
Purmerend Overwhere,pmo001,4,1692302907,OV_FIETS,Yes
Lelystad Centrum,lls003,,1692302907,OV_FIETS,Yes
Utrecht Centraal Jaarbeursplein,ut016,453,1692302907,OV_FIETS,Yes
Zwolle Hanzeland,zl003,31,1692302907,OV_FIETS,Yes
Holten,hon001,,1692302907,OV_FIETS,Yes
Wijhe,wh001,4,1692302907,OV_FIETS,Yes
Breda Prinsenbeek,bdpb001,6,1692302907,OV_FIETS,Yes
Zwolle,zl004,299,1692302907,OV_FIETS,Yes
Nijmegen,nm001,256,1692302907,OV_FIETS,Yes
Bovenkarspel-Grootebroek,bkg001,3,1692302907,OV_FIETS,Yes
OV-ebike Driebergen-Zeist,db003,15,1692302907,OV_FIETS,Yes
Zeist,db002,22,1692302907,OV_FIETS,Yes
Driebergen-Zeist,db001,141,1692302907,OV_FIETS,Yes
Echt,ec001,6,1692302907,OV_FIETS,Yes
Raalte,rat001,1,1692302907,OV_FIETS,Yes
Dalfsen,dl001,4,1692302907,OV_FIETS,Yes
Rotterdam Slinge,rtd904,2,1692302907,OV_FIETS,Yes
Boxmeer,Bmr001,4,1692302907,OV_FIETS,Yes
Pijnacker,rtd906,2,1692302907,OV_FIETS,Yes
Nunspeet,Ns001,0,1692302907,OV_FIETS,Unknown
Maastricht Noord,mtn001,8,1692302907,OV_FIETS,Yes
Doetinchem de Huet,dtch001,4,1692302907,OV_FIETS,Yes
Utrecht Janskerkhof,ut018,5,1692302907,OV_FIETS,Yes
Delden,ddn001,4,1692302907,OV_FIETS,Yes
Muiden P&R,wp901,8,1692302907,OV_FIETS,Yes
Lage Zwaluwe,Zlw001,0,1692302907,OV_FIETS,Yes
Hengelo Gezondheidspark,hglg001,6,1692302907,OV_FIETS,Yes
Bodegraven,bdg001,8,1692302907,OV_FIETS,Yes
Utrecht Overvecht,uto001,10,1692302907,OV_FIETS,Yes
Soestdijk,sd001,3,1692302907,OV_FIETS,Yes
Delft Zuid,dtz001,,1692302907,OV_FIETS,Yes
Vught,Vg001,1,1692302907,OV_FIETS,Yes
Amsterdam Zuid Zuidplein,asdz001,68,1692302907,OV_FIETS,Yes
Heemskerk,hk001,6,1692302907,OV_FIETS,Yes
Amsterdam Zuid Mahlerplein,asdz003,27,1692302907,OV_FIETS,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR002,0,1692302907,OV_FIETS,Yes
Utrecht Zuilen,utzl001,4,1692302907,OV_FIETS,Yes
Alphen aan den Rijn,apn001,44,1692302907,OV_FIETS,Yes
Rotterdam Blaak,rtb001,9,1692302907,OV_FIETS,No
