description,locationCode,rentalBikes,fetchTime,type,open
Utrecht Terwijde,utt001,5,1706074856,OV_FIETS,Yes
Brummen,bmn001,5,1706074856,OV_FIETS,Yes
Ermelo,eml001,0,1706074856,OV_FIETS,Unknown
Ravenstein,Rvs001,6,1706074856,OV_FIETS,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR001,103,1706074856,OV_FIETS,Yes
Nijmegen Goffert,nmgo001,1,1706074856,OV_FIETS,Yes
Lochem,lc001,5,1706074856,OV_FIETS,Yes
Bergen op Zoom,bgn002,22,1706074856,OV_FIETS,Yes
Oldenzaal,odz001,0,1706074856,OV_FIETS,Yes
Cuijk,ck001,14,1706074856,OV_FIETS,Yes
Veenendaal-De klomp,klp001,23,1706074856,OV_FIETS,Yes
Vroomshoop,vhp001,4,1706074856,OV_FIETS,Yes
Best,bet001,12,1706074856,OV_FIETS,Yes
Winterswijk,ww001,5,1706074856,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb003,0,1695282760,OV_FIETS,Yes
Boxtel - Kluis,btl004,12,1706074856,OV_FIETS,Yes
Zuidhorn,Zh001,8,1706074856,OV_FIETS,Yes
Houten Castellum,htnc001,39,1706074856,OV_FIETS,Yes
Voorhout,vh001,2,1706074856,OV_FIETS,Yes
Tilburg Reeshof,tbr001,1,1706074856,OV_FIETS,Yes
Harderwijk,hd001,59,1706074856,OV_FIETS,Yes
Utrecht P+R Westraven,ut007,16,1706074856,OV_FIETS,Yes
Den Haag HS,gv001,66,1706074856,OV_FIETS,Yes
Heerhugowaard,hwd003,26,1706074856,OV_FIETS,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,16,1706074856,OV_FIETS,Yes
Deventer Boerhavelaan,dv003,20,1706074856,OV_FIETS,Yes
Uden,Ow002,7,1706074856,OV_FIETS,Yes
Deventer,dv001,138,1706074856,OV_FIETS,Yes
"Leiden Centraal, Centrumzijde",ledn002,57,1706074856,OV_FIETS,Yes
Helmond Brandevoort,hmbv001,4,1706074856,OV_FIETS,Yes
Den Helder Zuid,hdrz001,6,1706074856,OV_FIETS,Yes
Castricum,cas002,53,1706074856,OV_FIETS,Yes
Sneek,sk001,7,1706074856,OV_FIETS,Yes
Geldrop,Gp001,5,1706074856,OV_FIETS,Yes
Oudenbosch,odb001,4,1706074856,OV_FIETS,Yes
Anna Paulowna,ana001,4,1706074856,OV_FIETS,Yes
Goes,gs003,23,1706074856,OV_FIETS,Yes
Amersfoort Schothorst,amfs001,33,1706074856,OV_FIETS,Yes
Roosendaal,rsd002,57,1706074856,OV_FIETS,Yes
OV-ebike Arnhem Centrum,ah003,22,1706074856,OV_FIETS,Yes
