description,locationCode,rentalBikes,fetchTime,open
Utrecht Terwijde,utt001,1,1688569782,Yes
Eindhoven Noordzijde,,86,1665662115,Yes
Brummen,bmn001,1,1688569782,Yes
Ermelo,eml001,1,1688569782,Unknown
Ravenstein,Rvs001,5,1688569782,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR001,54,1684854854,Yes
Bergen op Zoom,bgn001,19,1678694969,Yes
Lochem,lc001,8,1688569782,Yes
Schagen,sgn001,11,1688569782,Yes
Oldenzaal,odz001,2,1688569782,Yes
Cuijk,ck001,9,1688569782,Yes
Goes,gs003,15,1688569782,Yes
Vroomshoop,vhp001,4,1688569782,Yes
Best,bet001,15,1688569782,Yes
Winterswijk,ww001,5,1688569782,Yes
Amsterdam Bijlmer ArenA,asb003,5,1688569782,Yes
Utrecht Centraal Jaarbeursplein,ut016,510,1688569782,Yes
Zuidhorn,Zh001,8,1688569782,Yes
Soestdijk,sd001,3,1688569782,Yes
Utrecht Vaartsche Rijn Oosterkade,ut019,23,1683629913,Yes
Utrecht Janskerkhof,ut018,1,1688569782,Yes
Utrecht Vredenburg,ut006,29,1677604114,Yes
Harderwijk,hd001,36,1688569782,Yes
Zwijndrecht,zwd002,28,1675240492,Yes
Hengelo,hgl002,16,1688569782,Yes
Maarheeze,mz001,3,1688569782,Yes
Den Haag HS,gv001,49,1688569782,Yes
Heerhugowaard,hwd003,25,1688569782,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,26,1688569782,Yes
Deventer Boerhavelaan,dv003,20,1688569782,Yes
Uden,Ow002,6,1688569782,Yes
Deventer,dv001,111,1688569782,Yes
Steenwijk,swk001,10,1671526428,Yes
Helmond Brandevoort,hmbv001,3,1688569782,Yes
Den Helder Zuid,hdrz001,4,1688569782,Yes
"Leiden Centraal,Uitgang LUMC",ledn001,219,1688569782,Yes
Sneek,sk001,4,1688569782,Yes
Geldrop,Gp001,3,1688569782,Yes
Oudenbosch,odb001,3,1688569782,Yes
Anna Paulowna,ana001,2,1688569782,Yes
Horst Sevenum,hrt001,3,1688569782,Yes
Amersfoort Schothorst,amfs001,22,1688569782,Yes
Roosendaal,rsd003,47,1678695411,Yes
Roosendaal,rsd002,31,1688569782,Yes
OV-ebike Arnhem Centrum,ah003,13,1688569782,Yes
Gilze Rijen,gz001,6,1688569782,Yes
Emmen,emn001,22,1688569782,Yes
Halfweg Zwanenburg,hwzb001,5,1688569782,Yes
Hoorn Kersenboogerd,hnk001,0,1688569782,Yes
Hoorn,hn001,56,1688569782,Yes
Rotterdam Kralingse Zoom,Rta003,12,1688569782,Yes
Rhenen,rhn001,2,1688569782,Yes
Rijssen,rsn001,6,1688569782,Yes
Venlo,vl001,50,1688569782,Yes
Ommen,omn001,1,1688569782,Yes
Culemborg,cl002,13,1677764847,Yes
Culemborg,cl003,13,1688569782,Yes
Groningen Noord,Gnn001,0,1688569782,Yes
Culemborg,cl001,,1638967434,Yes
Voorburg,vb001,28,1675153509,Yes
Eindhoven Strijp-S,ehs001,2,1688569782,Yes
Haarlem Spaarnwoude,hlms001,4,1688569782,Yes
Dordrecht,ddr001,40,1688569782,Yes
Soest Zuid,stz001,6,1688569782,Yes
Haren,HRN002,4,1688569782,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,19,1688569782,Yes
Utrecht P+R Westraven,ut007,6,1688569782,Yes
Maastricht Randwyck,mtr001,7,1688569782,Yes
Amsterdam Muiderpoort,asdm001,42,1688569782,Yes
Castricum,cas001,54,1667467212,Yes
Wolfheze,wf001,4,1688569782,Yes
Meerssen,mes001,4,1688569782,Yes
Maassluis,mss001,8,1688569782,Yes
Weesp,wp001,37,1688569782,Yes
Weert,wt003,16,1688569782,Yes
Vierlingsbeek,vlb001,6,1688569782,Yes
Amsterdam Sloterdijk,ass001,98,1688569782,Yes
Gorinchem,gr001,0,1688569782,Yes
Rotterdam Alexander,rta001,5,1688569782,Yes
Valkenburg,vk001,5,1688569782,Yes
Almelo,aml002,14,1688569782,Yes
Bloemendaal,bll001,1,1688569782,Yes
Etten-Leur,etn001,2,1688569782,Yes
Almelo,aml001,19,1678718208,Yes
Heiloo,hlo001,12,1688569782,Yes
Utrecht Mariaplaats,ut014,14,1677604114,Yes
Purmerend Overwhere,pmo001,2,1688569782,Yes
Doetinchem,dtc001,3,1688569782,Yes
Lelystad Centrum,lls002,15,1666626240,Yes
Nijmegen Goffert,nmgo001,5,1688569782,Yes
Zandvoort Zilt-Bikes,zvt002,,1642524080,Yes
Zwolle Hanzeland/Zuidzijde,zl002,,1674641829,Yes
Holten,hon001,7,1688569782,Yes
Boskoop,bk001,3,1683629913,Yes
Breda Prinsenbeek,bdpb001,3,1688569782,Yes
Zwolle,zl004,211,1688569782,Yes
Baarn,brn002,23,1688569782,Yes
Nijmegen,nm001,52,1688569782,Yes
Bovenkarspel-Grootebroek,bkg001,4,1688569782,Yes
Dieren,dr001,3,1688569782,Yes
Zeist,db002,23,1688569782,Yes
Driebergen-Zeist,db001,114,1688569782,Yes
Echt,ec001,4,1688569782,Yes
Lelystad Centrum,lls003,7,1688569782,Yes
Middelburg,mdb002,19,1688569782,Yes
Raalte,rat001,3,1688569782,Yes
Dalfsen,dl001,0,1688569782,Yes
Rotterdam Slinge,rtd904,3,1688569782,Yes
Boxmeer,Bmr001,9,1688569782,Yes
Pijnacker,rtd906,4,1688569782,Yes
Veenendaal,vndc002,2,1659359068,Yes
Nunspeet,Ns001,5,1688569782,Unknown
Voorhout,vh001,4,1688569782,Yes
Maastricht Noord,mtn001,8,1688569782,Yes
Doetinchem de Huet,dtch001,5,1688569782,Yes
Delden,ddn001,2,1688569782,Yes
Muiden P&R,wp901,4,1688569782,Yes
't Harde,Hde001,2,1688569782,Yes
Hengelo Gezondheidspark,hglg001,3,1688569782,Yes
Bodegraven,bdg001,3,1688569782,Yes
Utrecht Overvecht,uto001,12,1688569782,Yes
Hilversum Sportpark ,hvsp001,10,1688569782,Yes
Delft Zuid,dtz001,,1688569782,Yes
Vught,Vg001,6,1688569782,Yes
Amsterdam Zuid Zuidplein,asdz001,84,1688569782,Yes
Heemskerk,hk001,3,1688569782,Yes
Amsterdam Zuid Mahlerplein,asdz003,58,1688569782,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR002,0,1688569782,Yes
Utrecht Zuilen,utzl001,8,1688569782,Yes
Alphen aan den Rijn,apn001,24,1688569782,Yes
Rotterdam Blaak,rtb001,3,1688569782,Yes
Vriezenveen,vz001,3,1688569782,Yes
Zwijndrecht,zwd003,27,1688569782,Yes
OV-ebike Driebergen-Zeist,db003,19,1688569782,Yes
Eindhoven Noordzijde,ehv003,42,1688569782,Yes
Eindhoven Zuidzijde (centrum),ehv002,102,1688569782,Yes
Winschoten,ws001,4,1688569782,Yes
Veghel,Btl003,7,1688569782,Yes
Naarden-Bussum,ndb002,44,1674039176,Yes
Naarden-Bussum,ndb003,38,1688569782,Yes
Woerden,wd001,38,1688569782,Yes
s-Hertogenbosch,ht001,174,1688569782,Yes
Baarn,brn001,,1666857504,Yes
Overveen,ovn001,1,1688569782,Yes
Waalwijk,ht002,6,1688569782,Yes
Maarssen,mas003,22,1688569782,Yes
Kerkrade Centrum,krd001,4,1688569782,Yes
Venray,vry001,22,1688569782,Yes
Eindhoven Strijp-S,ehb001,1,1683629913,Yes
Veenendaal West,vndw001,7,1688569782,Yes
Aalten,atn001,6,1688569782,Yes
Haarlem Fiets Inn,hlm002,234,1688569782,Yes
Bilthoven,bhv002,20,1688569782,Yes
Purmerend,pmr001,4,1688569782,Yes
Bilthoven,bhv001,,1666857504,Yes
Hardenberg,hdb001,1,1688569782,Yes
Beverwijk,bv002,46,1688569782,Yes
Boxtel,btl001,17,1688569782,Yes
Hoogezand Sappemeer,Hgz001,2,1688569782,Yes
Heerhugowaard,hwd002,23,1667896108,Yes
Amersfoort Vathorst,avat001,3,1688569782,Yes
Roermond,rm001,40,1688569782,Yes
Krommenie-Assendelft,kma001,2,1688569782,Yes
Heerlen,hrl001,29,1678868445,Yes
Schiphol,shl001,3,1688569782,Yes
Rosmalen,rs001,3,1688569782,Yes
Utrecht P+R Science Park (De Uithof) ZS,ut908,10,1666164653,Yes
Vianen OV-fiets Carrousel,ut905,20,1688569782,Yes
Utrecht P+R Papendorp,ut904,3,1688569782,Yes
Utrecht Stadhuis,ut003,8,1677604114,Yes
P + R Utrecht Science Park (De Uithof),ut906,9,1688569782,Yes
Hengelo,hgl001,,1675688931,Yes
Arnhem Centrum,ah001,191,1688569782,Yes
Utrecht Rijnsweerd,ut903,12,1688569782,Yes
Alkmaar,amr001,89,1688569782,Yes
Vlaardingen Centrum,vdg001,,1642524080,Yes
Rotterdam Centraal,rtd001,408,1688569782,Yes
Tilburg West Universiteit,tbu001,1,1688569782,Yes
Sittard,std002,25,1688569782,Yes
"Leiden Centraal, Centrumzijde",ledn002,37,1688569782,Yes
Gouda Goverwelle,gdg001,0,1688569782,Yes
Den Haag Laan van NOI,laa001,1,1688569782,Yes
Alkmaar Noord,amrn002,24,1688569782,Yes
Zandvoort,zvt001,13,1688569782,Yes
Uitgeest,utg001,0,1688569782,Yes
Alkmaar Noord,amrn003,29,1667467212,Yes
Den Helder,hdr003,6,1667896108,Yes
Nootdorp,gvc901,1,1688569782,Yes
Houten,htn001,54,1688569782,Yes
Steenwijk,swk002,5,1688569782,Yes
Lage Zwaluwe,Zlw001,4,1688569782,Yes
Hoogeveen,hgv002,23,1679582772,Yes
Zutphen,zp001,61,1688569782,Yes
Zwolle Hanzeland,zl003,23,1688569782,Yes
Breda Centrum,Bd003,145,1688569782,Yes
Den Haag Mariahoeve,gvm001,0,1688569782,Yes
Zaltbommel,zbm001,25,1677765289,Yes
Barneveld Noord,bnn001,3,1688569782,Yes
Almere Centrum Landdrostdreef,alm001,59,1688569782,Yes
Zaltbommel,zbm002,20,1688569782,Yes
Schiedam,sdm001,15,1688569782,Yes
Zoetermeer Centrum West,ztm002,16,1688569782,Yes
Borne,bn001,6,1688569782,Yes
Zevenbergen,Zvb001,3,1688569782,Yes
Driehuis,drh001,7,1688569782,Yes
Helmond Brouwhuis,hmbh001,1,1688569782,Yes
Amsterdam Centraal Stationsplein,asd010,258,1688569782,Yes
Nijmegen Heyendaal,nmh001,0,1688569782,Yes
Barendrecht,brd002,18,1688569782,Yes
Rheden,rh001,6,1688569782,Yes
Barendrecht,brd001,29,1675240492,Yes
Bergen op Zoom,bgn002,16,1688569782,Yes
Breda Belcrum,bd002,100,1688569782,Yes
Amsterdam Centraal IJzijde,asd008,317,1688569782,Yes
Amsterdam Noord,asd009,12,1688569782,Yes
Obdam,obd001,4,1688569782,Yes
Tiel,tl003,17,1688569782,Yes
Tiel,tl002,26,1677765289,Yes
Amsterdam Centraal Oost,asd002,134,1688569782,Yes
Santpoort Noord,sptn001,7,1688569782,Yes
Oss West,ow001,6,1688569782,Yes
Tilburg Zuid,tb003,34,1688569782,Yes
Groningen,gn001,514,1688569782,Yes
Groningen P+R Hoogkerk,gn002,,1667985514,Yes
Groningen P+R Kardinge,gn003,6,1667985514,Yes
Utrecht Lunetten,utl001,1,1688569782,Yes
Enschede,es002,25,1679582772,Yes
OV-fiets - Maastricht,mt001,144,1688569782,Yes
OV-ebike Maastricht,mt003,,1688569782,Yes
Putten,pt001,0,1688569782,Yes
Houten Castellum,htnc001,34,1688569782,Yes
Heerenveen,hr001,8,1668506290,Yes
Kampen,kpn002,29,1668679584,Yes
Veendam,Vdm001,2,1688569782,Yes
Didam,did001,5,1688569782,Yes
Gouda,gd001,131,1688569782,Yes
Heemstede-Aerdenhout,had002,25,1688569782,Yes
Rotterdam Fietspunt Wilhelminakade Prinsendam,Rtd003,7,1688569782,Yes
Rotterdam Fietspunt Marconiplein,Rtd004,8,1688569782,Yes
Enkhuizen,ekz001,15,1688569782,Unknown
Hellendoorn/Nijverdal OV-fiets Carrousel,nvd001,17,1688569782,Yes
Goor,go001,3,1688569782,Yes
Sleeuwijk Tol West,GR002 ,3,1688569782,Yes
Barneveld Centrum,bnc001,3,1688569782,Yes
