description,locationCode,rentalBikes,fetchTime,open
Utrecht Terwijde,utt001,0,1688641669,Yes
Eindhoven Noordzijde,,86,1665662115,Yes
Brummen,bmn001,2,1688641669,Yes
Ermelo,eml001,1,1688641669,Unknown
Ravenstein,Rvs001,5,1688641669,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR001,54,1684854854,Yes
Bergen op Zoom,bgn001,19,1678694969,Yes
Lochem,lc001,6,1688641669,Yes
Schagen,sgn001,3,1688641669,Yes
Oldenzaal,odz001,1,1688641669,Yes
Cuijk,ck001,11,1688641669,Yes
Goes,gs003,4,1688641669,Yes
Vroomshoop,vhp001,4,1688641669,Yes
Best,bet001,1,1688641669,Yes
Winterswijk,ww001,0,1688641669,Yes
Amsterdam Bijlmer ArenA,asb003,0,1688641669,Yes
Utrecht Centraal Jaarbeursplein,ut016,1,1688641669,Yes
Zuidhorn,Zh001,8,1688641669,Yes
Soestdijk,sd001,2,1688641669,Yes
Utrecht Vaartsche Rijn Oosterkade,ut019,23,1683629913,Yes
Utrecht Janskerkhof,ut018,2,1688641669,Yes
Utrecht Vredenburg,ut006,29,1677604114,Yes
Harderwijk,hd001,13,1688641669,Yes
Zwijndrecht,zwd002,28,1675240492,Yes
Hengelo,hgl002,0,1688641669,Yes
Maarheeze,mz001,1,1688641669,Yes
Den Haag HS,gv001,0,1688641669,Yes
Heerhugowaard,hwd003,6,1688641669,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,1,1688641669,Yes
Deventer Boerhavelaan,dv003,20,1688641669,Yes
Uden,Ow002,8,1688641669,Yes
Deventer,dv001,14,1688641669,Yes
Steenwijk,swk001,10,1671526428,Yes
Helmond Brandevoort,hmbv001,2,1688641669,Yes
Den Helder Zuid,hdrz001,0,1688641669,Yes
"Leiden Centraal,Uitgang LUMC",ledn001,10,1688641669,Yes
Sneek,sk001,1,1688641669,Yes
Geldrop,Gp001,0,1688641669,Yes
Oudenbosch,odb001,1,1688641669,Yes
Anna Paulowna,ana001,2,1688641669,Yes
Horst Sevenum,hrt001,1,1688641669,Yes
Amersfoort Schothorst,amfs001,0,1688641669,Yes
Roosendaal,rsd003,47,1678695411,Yes
Roosendaal,rsd002,6,1688641669,Yes
OV-ebike Arnhem Centrum,ah003,1,1688641669,Yes
Gilze Rijen,gz001,2,1688641669,Yes
Emmen,emn001,22,1688641669,Yes
Halfweg Zwanenburg,hwzb001,2,1688641669,Yes
Hoorn Kersenboogerd,hnk001,1,1688641669,Yes
Hoorn,hn001,14,1688641669,Yes
Rotterdam Kralingse Zoom,Rta003,2,1688641669,Yes
Rhenen,rhn001,0,1688641669,Yes
Rijssen,rsn001,2,1688641669,Yes
Venlo,vl001,28,1688641669,Yes
Ommen,omn001,0,1688641669,Yes
Culemborg,cl002,13,1677764847,Yes
Culemborg,cl003,2,1688641669,Yes
Groningen Noord,Gnn001,1,1688641669,Yes
Culemborg,cl001,,1638967434,Yes
Voorburg,vb001,28,1675153509,Yes
Eindhoven Strijp-S,ehs001,0,1688641669,Yes
Haarlem Spaarnwoude,hlms001,0,1688641669,Yes
Dordrecht,ddr001,1,1688641669,Yes
Soest Zuid,stz001,6,1688641669,Yes
Haren,HRN002,4,1688641669,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,12,1688641669,Yes
Utrecht P+R Westraven,ut007,7,1688641669,Yes
Maastricht Randwyck,mtr001,7,1688641669,Yes
Amsterdam Muiderpoort,asdm001,2,1688641669,Yes
Castricum,cas001,54,1667467212,Yes
Wolfheze,wf001,4,1688641669,Yes
Meerssen,mes001,4,1688641669,Yes
Maassluis,mss001,7,1688641669,Yes
Weesp,wp001,5,1688641669,Yes
Weert,wt003,1,1688641669,Yes
Vierlingsbeek,vlb001,6,1688641669,Yes
Amsterdam Sloterdijk,ass001,2,1688641669,Yes
Gorinchem,gr001,0,1688641669,Yes
Rotterdam Alexander,rta001,1,1688641669,Yes
Valkenburg,vk001,6,1688641669,Yes
Almelo,aml002,0,1688641669,Yes
Bloemendaal,bll001,0,1688641669,Yes
Etten-Leur,etn001,0,1688641669,Yes
Almelo,aml001,19,1678718208,Yes
Heiloo,hlo001,2,1688641669,Yes
Utrecht Mariaplaats,ut014,14,1677604114,Yes
Purmerend Overwhere,pmo001,2,1688641669,Yes
Doetinchem,dtc001,1,1688641669,Yes
Lelystad Centrum,lls002,15,1666626240,Yes
Nijmegen Goffert,nmgo001,2,1688641669,Yes
Zandvoort Zilt-Bikes,zvt002,,1642524080,Yes
Zwolle Hanzeland/Zuidzijde,zl002,,1674641829,Yes
Holten,hon001,7,1688641669,Yes
Boskoop,bk001,3,1683629913,Yes
Breda Prinsenbeek,bdpb001,0,1688641669,Yes
Zwolle,zl004,3,1688641669,Yes
Baarn,brn002,3,1688641669,Yes
Nijmegen,nm001,9,1688641669,Yes
Bovenkarspel-Grootebroek,bkg001,4,1688641669,Yes
Dieren,dr001,1,1688641669,Yes
Zeist,db002,21,1688641669,Yes
Driebergen-Zeist,db001,3,1688641669,Yes
Echt,ec001,5,1688641669,Yes
Lelystad Centrum,lls003,10,1688641669,Yes
Middelburg,mdb002,11,1688641669,Yes
Raalte,rat001,2,1688641669,Yes
Dalfsen,dl001,1,1688641669,Yes
Rotterdam Slinge,rtd904,3,1688641669,Yes
Boxmeer,Bmr001,4,1688641669,Yes
Pijnacker,rtd906,2,1688641669,Yes
Veenendaal,vndc002,2,1659359068,Yes
Nunspeet,Ns001,0,1688641669,Unknown
Voorhout,vh001,1,1688641669,Yes
Maastricht Noord,mtn001,5,1688641669,Yes
Doetinchem de Huet,dtch001,2,1688641669,Yes
Delden,ddn001,4,1688641669,Yes
Muiden P&R,wp901,4,1688641669,Yes
't Harde,Hde001,0,1688641669,Yes
Hengelo Gezondheidspark,hglg001,5,1688641669,Yes
Bodegraven,bdg001,3,1688641669,Yes
Utrecht Overvecht,uto001,1,1688641669,Yes
Hilversum Sportpark ,hvsp001,6,1688641669,Yes
Delft Zuid,dtz001,,1688641669,Yes
Vught,Vg001,0,1688641669,Yes
Amsterdam Zuid Zuidplein,asdz001,3,1688641669,Yes
Heemskerk,hk001,2,1688641669,Yes
Amsterdam Zuid Mahlerplein,asdz003,57,1688641669,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR002,0,1688641669,Yes
Utrecht Zuilen,utzl001,1,1688641669,Yes
Alphen aan den Rijn,apn001,40,1688641669,Yes
Rotterdam Blaak,rtb001,1,1688641669,Yes
Vriezenveen,vz001,3,1688641669,Yes
Zwijndrecht,zwd003,24,1688641669,Yes
OV-ebike Driebergen-Zeist,db003,0,1688641669,Yes
Eindhoven Noordzijde,ehv003,0,1688641669,Yes
Eindhoven Zuidzijde (centrum),ehv002,0,1688641669,Yes
Winschoten,ws001,3,1688641669,Yes
Veghel,Btl003,6,1688641669,Yes
Naarden-Bussum,ndb002,44,1674039176,Yes
Naarden-Bussum,ndb003,7,1688641669,Yes
Woerden,wd001,8,1688641669,Yes
s-Hertogenbosch,ht001,1,1688641669,Yes
Baarn,brn001,,1666857504,Yes
Overveen,ovn001,1,1688641669,Yes
Waalwijk,ht002,2,1688641669,Yes
Maarssen,mas003,11,1688641669,Yes
Kerkrade Centrum,krd001,4,1688641669,Yes
Venray,vry001,16,1688641669,Yes
Eindhoven Strijp-S,ehb001,1,1683629913,Yes
Veenendaal West,vndw001,7,1688641669,Yes
Aalten,atn001,4,1688641669,Yes
Haarlem Fiets Inn,hlm002,35,1688641669,Yes
Bilthoven,bhv002,1,1688641669,Yes
Purmerend,pmr001,3,1688641669,Yes
Bilthoven,bhv001,,1666857504,Yes
Hardenberg,hdb001,0,1688641669,Yes
Beverwijk,bv002,17,1688641669,Yes
Boxtel,btl001,7,1688641669,Yes
Hoogezand Sappemeer,Hgz001,3,1688641669,Yes
Heerhugowaard,hwd002,23,1667896108,Yes
Amersfoort Vathorst,avat001,3,1688641669,Yes
Roermond,rm001,11,1688641669,Yes
Krommenie-Assendelft,kma001,4,1688641669,Yes
Heerlen,hrl001,29,1678868445,Yes
Schiphol,shl001,3,1688641669,Yes
Rosmalen,rs001,0,1688641669,Yes
Utrecht P+R Science Park (De Uithof) ZS,ut908,10,1666164653,Yes
Vianen OV-fiets Carrousel,ut905,22,1688641669,Yes
Utrecht P+R Papendorp,ut904,1,1688641669,Yes
Utrecht Stadhuis,ut003,8,1677604114,Yes
P + R Utrecht Science Park (De Uithof),ut906,9,1688641669,Yes
Hengelo,hgl001,,1675688931,Yes
Arnhem Centrum,ah001,2,1688641669,Yes
Utrecht Rijnsweerd,ut903,7,1688641669,Yes
Alkmaar,amr001,16,1688641669,Yes
Vlaardingen Centrum,vdg001,,1642524080,Yes
Rotterdam Centraal,rtd001,43,1688641669,Yes
Tilburg West Universiteit,tbu001,4,1688641669,Yes
Sittard,std002,19,1688641669,Yes
"Leiden Centraal, Centrumzijde",ledn002,5,1688641669,Yes
Gouda Goverwelle,gdg001,3,1688641669,Yes
Den Haag Laan van NOI,laa001,1,1688641669,Yes
Alkmaar Noord,amrn002,19,1688641669,Yes
Zandvoort,zvt001,7,1688641669,Yes
Uitgeest,utg001,1,1688641669,Yes
Alkmaar Noord,amrn003,29,1667467212,Yes
Den Helder,hdr003,6,1667896108,Yes
Nootdorp,gvc901,2,1688641669,Yes
Houten,htn001,25,1688641669,Yes
Steenwijk,swk002,5,1688641669,Yes
Lage Zwaluwe,Zlw001,4,1688641669,Yes
Hoogeveen,hgv002,23,1679582772,Yes
Zutphen,zp001,27,1688641669,Yes
Zwolle Hanzeland,zl003,2,1688641669,Yes
Breda Centrum,Bd003,4,1688641669,Yes
Den Haag Mariahoeve,gvm001,1,1688641669,Yes
Zaltbommel,zbm001,25,1677765289,Yes
Barneveld Noord,bnn001,3,1688641669,Yes
Almere Centrum Landdrostdreef,alm001,38,1688641669,Yes
Zaltbommel,zbm002,4,1688641669,Yes
Schiedam,sdm001,3,1688641669,Yes
Zoetermeer Centrum West,ztm002,17,1688641669,Yes
Borne,bn001,6,1688641669,Yes
Zevenbergen,Zvb001,0,1688641669,Yes
Driehuis,drh001,6,1688641669,Yes
Helmond Brouwhuis,hmbh001,0,1688641669,Yes
Amsterdam Centraal Stationsplein,asd010,2,1688641669,Yes
Nijmegen Heyendaal,nmh001,0,1688641669,Yes
Barendrecht,brd002,13,1688641669,Yes
Rheden,rh001,5,1688641669,Yes
Barendrecht,brd001,29,1675240492,Yes
Bergen op Zoom,bgn002,2,1688641669,Yes
Breda Belcrum,bd002,1,1688641669,Yes
Amsterdam Centraal IJzijde,asd008,8,1688641669,Yes
Amsterdam Noord,asd009,12,1688641669,Yes
Obdam,obd001,1,1688641669,Yes
Tiel,tl003,14,1688641669,Yes
Tiel,tl002,26,1677765289,Yes
Amsterdam Centraal Oost,asd002,0,1688641669,Yes
Santpoort Noord,sptn001,5,1688641669,Yes
Oss West,ow001,4,1688641669,Yes
Tilburg Zuid,tb003,53,1688641669,Yes
Groningen,gn001,252,1688641669,Yes
Groningen P+R Hoogkerk,gn002,,1667985514,Yes
Groningen P+R Kardinge,gn003,6,1667985514,Yes
Utrecht Lunetten,utl001,0,1688641669,Yes
Enschede,es002,25,1679582772,Yes
OV-fiets - Maastricht,mt001,117,1688641669,Yes
OV-ebike Maastricht,mt003,13,1688641669,Yes
Putten,pt001,0,1688641669,Yes
Houten Castellum,htnc001,29,1688641669,Yes
Heerenveen,hr001,8,1668506290,Yes
Kampen,kpn002,29,1668679584,Yes
Veendam,Vdm001,0,1688641669,Yes
Didam,did001,1,1688641669,Yes
Gouda,gd001,48,1688641669,Yes
Heemstede-Aerdenhout,had002,4,1688641669,Yes
Rotterdam Fietspunt Wilhelminakade Prinsendam,Rtd003,6,1688641669,Yes
Rotterdam Fietspunt Marconiplein,Rtd004,5,1688641669,Yes
Enkhuizen,ekz001,19,1688641669,Unknown
Hellendoorn/Nijverdal OV-fiets Carrousel,nvd001,17,1688641669,Yes
Goor,go001,0,1688641669,Yes
Sleeuwijk Tol West,GR002 ,3,1688641669,Yes
Barneveld Centrum,bnc001,2,1688641669,Yes
Hoofddorp,hfd002,6,1688641669,Yes
Zoetermeer Oost,ztmo001,0,1688641669,Yes
Hoogeveen,hgv003,4,1688641669,Yes
Oisterwijk,Ot001,1,1688641669,Yes
Duivendrecht,dvd001,0,1688641669,Yes
Helmond 't Hout,hmh001,1,1688641669,Yes
Den Haag Centraal Koningin Julianaplein,gvc021,19,1688641669,Yes
Dronten,DRON001,1,1688641669,Yes
Heerenveen,hr002,0,1688641669,Yes
Utrecht Leidsche Rijn,utlr001,0,1688641669,Yes
Pijnacker Zuid,rtd907,0,1688641669,Yes
Sittard,std001,26,1678868445,Yes
Heerlen,hrl002,6,1688641669,Yes
Diemen,dmn001,0,1688641669,Yes
Boxtel - Kluis,btl004,1,1688641669,Yes
Voorburg,vb002,16,1688641669,Yes
Kampen,kpn003,8,1688641669,Yes
Meppel,mp002,2,1688641669,Yes
Hoogkarspel,hks001,3,1688641669,Yes
Westervoort,wtv001,1,1688641669,Yes
Bussum Zuid,bsmz001,0,1688641669,Yes
Amsterdam RAI,rai001,4,1688641669,Yes
