description,locationCode,rentalBikes,fetchTime,type,open
Utrecht Terwijde,utt001,2,1701327043,OV_FIETS,Yes
Brummen,bmn001,6,1701327043,OV_FIETS,Yes
Ermelo,eml001,5,1701327043,OV_FIETS,Unknown
Ravenstein,Rvs001,7,1701327043,OV_FIETS,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR001,71,1701327043,OV_FIETS,Yes
Nijmegen Goffert,nmgo001,1,1701327043,OV_FIETS,Yes
Lochem,lc001,5,1701327043,OV_FIETS,Yes
Bergen op Zoom,bgn002,23,1701327043,OV_FIETS,Yes
Oldenzaal,odz001,1,1701327043,OV_FIETS,Yes
Cuijk,ck001,14,1701327043,OV_FIETS,Yes
Veenendaal-De klomp,klp001,24,1701327043,OV_FIETS,Yes
Vroomshoop,vhp001,4,1701327043,OV_FIETS,Yes
Best,bet001,18,1701327043,OV_FIETS,Yes
Winterswijk,ww001,6,1701327043,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb003,0,1695282760,OV_FIETS,Yes
Boxtel - Kluis,btl004,8,1701327043,OV_FIETS,Yes
Zuidhorn,Zh001,7,1701327043,OV_FIETS,Yes
Houten Castellum,htnc001,36,1701327043,OV_FIETS,Yes
Voorhout,vh001,0,1701327043,OV_FIETS,Yes
Tilburg Reeshof,tbr001,1,1701327043,OV_FIETS,Yes
Harderwijk,hd001,51,1701327043,OV_FIETS,Yes
Utrecht P+R Westraven,ut007,12,1701327043,OV_FIETS,Yes
Den Haag HS,gv001,30,1701327043,OV_FIETS,Yes
Heerhugowaard,hwd003,21,1701327043,OV_FIETS,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,13,1701327043,OV_FIETS,Yes
Deventer Boerhavelaan,dv003,19,1701327043,OV_FIETS,Yes
Uden,Ow002,6,1701327043,OV_FIETS,Yes
Deventer,dv001,123,1701327043,OV_FIETS,Yes
"Leiden Centraal, Centrumzijde",ledn002,53,1701327043,OV_FIETS,Yes
Helmond Brandevoort,hmbv001,3,1701327043,OV_FIETS,Yes
Den Helder Zuid,hdrz001,8,1701327043,OV_FIETS,Yes
Castricum,cas002,56,1701327043,OV_FIETS,Yes
Sneek,sk001,6,1701327043,OV_FIETS,Yes
Geldrop,Gp001,6,1701327043,OV_FIETS,Yes
Oudenbosch,odb001,0,1701327043,OV_FIETS,Yes
Anna Paulowna,ana001,0,1701327043,OV_FIETS,Yes
Goes,gs003,25,1701327043,OV_FIETS,Yes
Amersfoort Schothorst,amfs001,31,1701327043,OV_FIETS,Yes
Roosendaal,rsd002,45,1701327043,OV_FIETS,Yes
OV-ebike Arnhem Centrum,ah003,21,1701327043,OV_FIETS,Yes
Gilze Rijen,gz001,5,1701327043,OV_FIETS,Yes
Halfweg Zwanenburg,hwzb001,4,1701327043,OV_FIETS,Yes
Hoorn Kersenboogerd,hnk001,,1701327043,OV_FIETS,Yes
Hoorn,hn001,54,1701327043,OV_FIETS,Yes
Rotterdam Kralingse Zoom,Rta003,14,1701327043,OV_FIETS,Yes
Boskoop,bsk001,4,1701327043,OV_FIETS,Yes
Rijssen,rsn001,6,1701327043,OV_FIETS,Yes
Venlo,vl001,45,1701327043,OV_FIETS,Yes
Ommen,omn001,5,1701327043,OV_FIETS,Yes
Culemborg,cl003,28,1701327043,OV_FIETS,Yes
Groningen Noord,Gnn001,3,1701327043,OV_FIETS,Yes
Eindhoven Strijp-S,ehs001,0,1701327043,OV_FIETS,Yes
Haarlem Spaarnwoude,hlms001,3,1701327043,OV_FIETS,Yes
Voorburg,vb002,22,1701327043,OV_FIETS,Yes
Soest Zuid,stz001,6,1701327043,OV_FIETS,Yes
Haren,HRN002,4,1701327043,OV_FIETS,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,22,1701327043,OV_FIETS,Yes
Maarheeze,mz001,4,1701327043,OV_FIETS,Yes
Maastricht Randwyck,mtr001,3,1701327043,OV_FIETS,Yes
Amsterdam Muiderpoort,asdm001,53,1701327043,OV_FIETS,Yes
Dieren,dr001,5,1701327043,OV_FIETS,Yes
Wolfheze,wf001,0,1701327043,OV_FIETS,Yes
Meerssen,mes001,3,1701327043,OV_FIETS,Yes
Dordrecht,ddr001,47,1701327043,OV_FIETS,Yes
Maassluis,mss001,9,1701327043,OV_FIETS,Yes
Weesp,wp001,34,1701327043,OV_FIETS,Yes
Vierlingsbeek,vlb001,6,1701327043,OV_FIETS,Yes
Amsterdam Sloterdijk,ass001,141,1701327043,OV_FIETS,Yes
Gorinchem,gr001,2,1701327043,OV_FIETS,Yes
Rotterdam Alexander,rta001,2,1701327043,OV_FIETS,Yes
Valkenburg,vk001,6,1701327043,OV_FIETS,Yes
Almelo,aml002,24,1701327043,OV_FIETS,Yes
Bloemendaal,bll001,2,1701327043,OV_FIETS,Yes
Etten-Leur,etn001,2,1701327043,OV_FIETS,Yes
Heiloo,hlo001,10,1701327043,OV_FIETS,Yes
"Leiden Centraal,Uitgang LUMC",ledn001,313,1701327043,OV_FIETS,Yes
Purmerend Overwhere,pmo001,3,1701327043,OV_FIETS,Yes
Lelystad Centrum,lls003,15,1701327043,OV_FIETS,Yes
Utrecht Centraal Jaarbeursplein,ut016,496,1701327043,OV_FIETS,Yes
Zwolle Hanzeland,zl003,20,1701327043,OV_FIETS,Yes
Holten,hon001,8,1701327043,OV_FIETS,Yes
Wijhe,wh001,5,1701327043,OV_FIETS,Yes
Breda Prinsenbeek,bdpb001,4,1701327043,OV_FIETS,Yes
Zwolle,zl004,251,1701327043,OV_FIETS,Yes
Nijmegen,nm001,160,1701327043,OV_FIETS,Yes
Bovenkarspel-Grootebroek,bkg001,3,1701327043,OV_FIETS,Yes
