description,locationCode,rentalBikes,fetchTime,open
Utrecht Terwijde,utt001,3,1688908404,Yes
Eindhoven Noordzijde,,86,1665662115,Yes
Brummen,bmn001,4,1688908404,Yes
Ermelo,eml001,2,1688908404,Unknown
Ravenstein,Rvs001,5,1688908404,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR001,54,1684854854,Yes
Bergen op Zoom,bgn001,19,1678694969,Yes
Lochem,lc001,6,1688908404,Yes
Schagen,sgn001,2,1688908404,Yes
Oldenzaal,odz001,0,1688908404,Yes
Cuijk,ck001,14,1688908404,Yes
Goes,gs003,14,1688908404,Yes
Vroomshoop,vhp001,4,1688908404,Yes
Best,bet001,17,1688908404,No
Winterswijk,ww001,3,1688908404,Yes
Amsterdam Bijlmer ArenA,asb003,19,1688908404,Yes
Utrecht Centraal Jaarbeursplein,ut016,344,1688908404,Yes
Zuidhorn,Zh001,6,1688908404,Yes
Soestdijk,sd001,2,1688908404,Yes
Utrecht Vaartsche Rijn Oosterkade,ut019,23,1683629913,Yes
Utrecht Janskerkhof,ut018,2,1688908404,Yes
Utrecht Vredenburg,ut006,29,1677604114,Yes
Harderwijk,hd001,12,1688908404,Yes
Zwijndrecht,zwd002,28,1675240492,Yes
Hengelo,hgl002,11,1688908404,Yes
Maarheeze,mz001,4,1688908404,Yes
Den Haag HS,gv001,40,1688908404,Yes
Heerhugowaard,hwd003,14,1688908404,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,10,1688908404,Yes
Deventer Boerhavelaan,dv003,17,1688908404,Yes
Uden,Ow002,7,1688908404,Yes
Deventer,dv001,66,1688908404,Yes
Steenwijk,swk001,10,1671526428,Yes
Helmond Brandevoort,hmbv001,3,1688908404,Yes
Den Helder Zuid,hdrz001,5,1688908404,Yes
"Leiden Centraal,Uitgang LUMC",ledn001,129,1688908404,Yes
Sneek,sk001,0,1688908404,Yes
Geldrop,Gp001,3,1688908404,Yes
Oudenbosch,odb001,3,1688908404,Yes
Anna Paulowna,ana001,1,1688908404,Yes
Horst Sevenum,hrt001,3,1688908404,Yes
Amersfoort Schothorst,amfs001,21,1688908404,Yes
Roosendaal,rsd003,47,1678695411,Yes
Roosendaal,rsd002,41,1688908404,Yes
OV-ebike Arnhem Centrum,ah003,7,1688908404,Yes
Gilze Rijen,gz001,4,1688908404,Yes
Emmen,emn001,19,1688908404,No
Halfweg Zwanenburg,hwzb001,2,1688908404,Yes
Hoorn Kersenboogerd,hnk001,1,1688908404,Yes
Hoorn,hn001,38,1688908404,Yes
Rotterdam Kralingse Zoom,Rta003,17,1688908404,Yes
Rhenen,rhn001,2,1688908404,Yes
Rijssen,rsn001,6,1688908404,Yes
Venlo,vl001,36,1688908404,Yes
Ommen,omn001,2,1688908404,Yes
Culemborg,cl002,13,1677764847,Yes
Culemborg,cl003,5,1688908404,Yes
Groningen Noord,Gnn001,4,1688908404,Yes
Culemborg,cl001,,1638967434,Yes
Voorburg,vb001,28,1675153509,Yes
Eindhoven Strijp-S,ehs001,0,1688908404,Yes
Haarlem Spaarnwoude,hlms001,0,1688908404,Yes
Dordrecht,ddr001,12,1688908404,Yes
Soest Zuid,stz001,4,1688908404,Yes
Haren,HRN002,0,1688908404,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,13,1688908404,Yes
Utrecht P+R Westraven,ut007,10,1688908404,Yes
Maastricht Randwyck,mtr001,6,1688908404,Yes
Amsterdam Muiderpoort,asdm001,8,1688908404,Yes
Castricum,cas001,54,1667467212,Yes
