description,locationCode,rentalBikes,fetchTime,type,open
Utrecht Terwijde,utt001,4,1698043031,OV_FIETS,Yes
Brummen,bmn001,6,1698043031,OV_FIETS,Yes
Ermelo,eml001,0,1698043031,OV_FIETS,Unknown
Ravenstein,Rvs001,4,1698043031,OV_FIETS,Yes
Nijmegen Goffert,nmgo001,0,1698043031,OV_FIETS,Yes
Lochem,lc001,1,1698043031,OV_FIETS,Yes
Bergen op Zoom,bgn002,12,1698043031,OV_FIETS,Yes
Oldenzaal,odz001,0,1698043031,OV_FIETS,Yes
Cuijk,ck001,15,1698043031,OV_FIETS,Yes
Veenendaal-De klomp,klp001,4,1698043031,OV_FIETS,Yes
Vroomshoop,vhp001,4,1698043031,OV_FIETS,Yes
Best,bet001,10,1698043031,OV_FIETS,Yes
Winterswijk,ww001,5,1698043031,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb003,0,1695282760,OV_FIETS,Yes
Boxtel - Kluis,btl004,9,1698043031,OV_FIETS,Yes
Zuidhorn,Zh001,8,1698043031,OV_FIETS,Yes
Houten Castellum,htnc001,36,1698043031,OV_FIETS,Yes
Voorhout,vh001,3,1698043031,OV_FIETS,Yes
Tilburg Reeshof,tbr001,1,1698043031,OV_FIETS,Yes
Harderwijk,hd001,39,1698043031,OV_FIETS,Yes
Utrecht P+R Westraven,ut007,15,1698043031,OV_FIETS,Yes
Den Haag HS,gv001,7,1698043031,OV_FIETS,Yes
Heerhugowaard,hwd003,22,1698043031,OV_FIETS,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,13,1698043031,OV_FIETS,Yes
Deventer Boerhavelaan,dv003,18,1698043031,OV_FIETS,Yes
Uden,Ow002,6,1698043031,OV_FIETS,Yes
Deventer,dv001,91,1698043031,OV_FIETS,Yes
"Leiden Centraal, Centrumzijde",ledn002,5,1698043031,OV_FIETS,Yes
Helmond Brandevoort,hmbv001,2,1698043031,OV_FIETS,Yes
