description,locationCode,rentalBikes,fetchTime,open
Utrecht Terwijde,utt001,3,1688591312,Yes
Eindhoven Noordzijde,,86,1665662115,Yes
Brummen,bmn001,2,1688591312,Yes
Ermelo,eml001,2,1688591312,Unknown
Ravenstein,Rvs001,4,1688591312,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR001,54,1684854854,Yes
Bergen op Zoom,bgn001,19,1678694969,Yes
Lochem,lc001,8,1688591312,Yes
Schagen,sgn001,11,1688591312,Yes
Oldenzaal,odz001,3,1688591312,Yes
Cuijk,ck001,14,1688591312,Yes
Goes,gs003,20,1688591312,Yes
Vroomshoop,vhp001,3,1688591312,Yes
Best,bet001,23,1688591312,No
Winterswijk,ww001,5,1688591312,Yes
Amsterdam Bijlmer ArenA,asb003,10,1688591312,Yes
Utrecht Centraal Jaarbeursplein,ut016,532,1688591312,Yes
Zuidhorn,Zh001,8,1688591312,Yes
Soestdijk,sd001,3,1688591312,Yes
Utrecht Vaartsche Rijn Oosterkade,ut019,23,1683629913,Yes
Utrecht Janskerkhof,ut018,3,1688591312,Yes
Utrecht Vredenburg,ut006,29,1677604114,Yes
Harderwijk,hd001,40,1688591312,Yes
Zwijndrecht,zwd002,28,1675240492,Yes
Hengelo,hgl002,22,1688591312,Yes
Maarheeze,mz001,3,1688591312,Yes
Den Haag HS,gv001,48,1688591312,Yes
Heerhugowaard,hwd003,23,1688591312,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,17,1688591312,Yes
Deventer Boerhavelaan,dv003,20,1688591312,Yes
Uden,Ow002,8,1688591312,Yes
Deventer,dv001,128,1688591312,Yes
Steenwijk,swk001,10,1671526428,Yes
Helmond Brandevoort,hmbv001,4,1688591312,Yes
Den Helder Zuid,hdrz001,5,1688591312,Yes
"Leiden Centraal,Uitgang LUMC",ledn001,234,1688591312,Yes
Sneek,sk001,3,1688591312,Yes
Geldrop,Gp001,2,1688591312,Yes
Oudenbosch,odb001,3,1688591312,Yes
Anna Paulowna,ana001,2,1688591312,Yes
Horst Sevenum,hrt001,5,1688591312,Yes
Amersfoort Schothorst,amfs001,21,1688591312,Yes
Roosendaal,rsd003,47,1678695411,Yes
Roosendaal,rsd002,43,1688591312,Yes
OV-ebike Arnhem Centrum,ah003,14,1688591312,Yes
Gilze Rijen,gz001,7,1688591312,Yes
Emmen,emn001,24,1688591312,No
Halfweg Zwanenburg,hwzb001,5,1688591312,Yes
Hoorn Kersenboogerd,hnk001,5,1688591312,Yes
Hoorn,hn001,56,1688591312,Yes
Rotterdam Kralingse Zoom,Rta003,16,1688591312,Yes
Rhenen,rhn001,2,1688591312,Yes
Rijssen,rsn001,8,1688591312,Yes
Venlo,vl001,54,1688591312,Yes
