description,locationCode,rentalBikes,fetchTime,type,open
Utrecht Terwijde,utt001,5,1713915631,OV_FIETS,Yes
Brummen,bmn001,5,1713915631,OV_FIETS,Yes
Ermelo,eml001,3,1713915631,OV_FIETS,Unknown
Ravenstein,Rvs001,3,1713915631,OV_FIETS,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR001,106,1713915631,OV_FIETS,No
Nijmegen Goffert,nmgo001,2,1713915631,OV_FIETS,Yes
Lochem,lc001,6,1713915631,OV_FIETS,Yes
Bergen op Zoom,bgn002,19,1713915631,OV_FIETS,No
Oldenzaal,odz001,4,1713915631,OV_FIETS,Yes
Cuijk,ck001,17,1713915631,OV_FIETS,Yes
Veenendaal-De klomp,klp001,14,1713915631,OV_FIETS,Yes
Vroomshoop,vhp001,4,1713915631,OV_FIETS,Yes
Best,bet001,21,1713915631,OV_FIETS,No
Winterswijk,ww001,5,1713915631,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb003,0,1695282760,OV_FIETS,Yes
Boxtel - Kluis,btl004,10,1713915631,OV_FIETS,Yes
Zuidhorn,Zh001,7,1713915631,OV_FIETS,Yes
Houten Castellum,htnc001,36,1713915631,OV_FIETS,No
Voorhout,vh001,0,1713915631,OV_FIETS,Yes
Tilburg Reeshof,tbr001,1,1713915631,OV_FIETS,Yes
Harderwijk,hd001,53,1713915631,OV_FIETS,No
Utrecht P+R Westraven,ut007,14,1713915631,OV_FIETS,Yes
Den Haag HS,gv001,58,1713915631,OV_FIETS,Yes
Heerhugowaard,hwd003,27,1713915631,OV_FIETS,No
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,20,1713915631,OV_FIETS,Yes
Deventer Boerhavelaan,dv003,17,1713915631,OV_FIETS,Yes
Uden,Ow002,7,1713915631,OV_FIETS,Yes
Deventer,dv001,148,1713915631,OV_FIETS,No
"Leiden Centraal, Centrumzijde",ledn002,68,1713915631,OV_FIETS,No
Helmond Brandevoort,hmbv001,1,1713915631,OV_FIETS,Yes
Den Helder Zuid,hdrz001,4,1713915631,OV_FIETS,Yes
Castricum,cas002,49,1713915631,OV_FIETS,No
Sneek,sk001,7,1713915631,OV_FIETS,Yes
Geldrop,Gp001,7,1713915631,OV_FIETS,Yes
Oudenbosch,odb001,4,1713915631,OV_FIETS,Yes
Anna Paulowna,ana001,5,1713915631,OV_FIETS,Yes
Goes,gs003,28,1713915631,OV_FIETS,No
Amersfoort Schothorst,amfs001,29,1713915631,OV_FIETS,No
Roosendaal,rsd002,61,1713915631,OV_FIETS,No
OV-ebike Arnhem Centrum,ah003,25,1713915631,OV_FIETS,Yes
Gilze Rijen,gz001,7,1713915631,OV_FIETS,Yes
Halfweg Zwanenburg,hwzb001,4,1713915631,OV_FIETS,Yes
Hoorn Kersenboogerd,hnk001,7,1713915631,OV_FIETS,Yes
Hoorn,hn001,55,1713915631,OV_FIETS,No
Rotterdam Kralingse Zoom,Rta003,22,1713915631,OV_FIETS,Yes
Boskoop,bsk001,3,1713915631,OV_FIETS,Yes
Rijssen,rsn001,7,1713915631,OV_FIETS,Yes
Venlo,vl001,56,1713915631,OV_FIETS,No
Ommen,omn001,3,1713915631,OV_FIETS,Yes
Culemborg,cl003,25,1713915631,OV_FIETS,No
Groningen Noord,Gnn001,5,1713915631,OV_FIETS,Yes
Eindhoven Strijp-S,ehs001,0,1713915631,OV_FIETS,Yes
Haarlem Spaarnwoude,hlms001,1,1713915631,OV_FIETS,Yes
Voorburg,vb002,31,1713915631,OV_FIETS,No
Soest Zuid,stz001,2,1713915631,OV_FIETS,Yes
Haren,HRN002,2,1713915631,OV_FIETS,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,25,1713915631,OV_FIETS,Yes
Maarheeze,mz001,2,1713915631,OV_FIETS,Yes
Maastricht Randwyck,mtr001,6,1713915631,OV_FIETS,Yes
Amsterdam Muiderpoort,asdm001,50,1713915631,OV_FIETS,No
Dieren,dr001,7,1713915631,OV_FIETS,Yes
Wolfheze,wf001,4,1713915631,OV_FIETS,Yes
Meerssen,mes001,1,1713915631,OV_FIETS,Yes
Dordrecht,ddr001,50,1713915631,OV_FIETS,Yes
Maassluis,mss001,7,1713915631,OV_FIETS,No
Weesp,wp001,50,1713915631,OV_FIETS,No
Vierlingsbeek,vlb001,6,1713915631,OV_FIETS,Yes
Amsterdam Sloterdijk,ass001,177,1713915631,OV_FIETS,No
Gorinchem,gr001,7,1713915631,OV_FIETS,Yes
