description,locationCode,rentalBikes,fetchTime,type,open
Utrecht Terwijde,utt001,7,1697768406,OV_FIETS,Yes
Brummen,bmn001,6,1697768406,OV_FIETS,Yes
Ermelo,eml001,8,1697768406,OV_FIETS,Unknown
Ravenstein,Rvs001,7,1697768406,OV_FIETS,Yes
Nijmegen Goffert,nmgo001,1,1697768406,OV_FIETS,Yes
Lochem,lc001,5,1697768406,OV_FIETS,Yes
Bergen op Zoom,bgn002,23,1697768406,OV_FIETS,No
Oldenzaal,odz001,2,1697768406,OV_FIETS,Yes
Cuijk,ck001,14,1697768406,OV_FIETS,Yes
Veenendaal-De klomp,klp001,22,1697768406,OV_FIETS,Yes
Vroomshoop,vhp001,4,1697768406,OV_FIETS,Yes
Best,bet001,22,1697768406,OV_FIETS,No
Winterswijk,ww001,5,1697768406,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb003,0,1695282760,OV_FIETS,Yes
Boxtel - Kluis,btl004,15,1697768406,OV_FIETS,Yes
Zuidhorn,Zh001,8,1697768406,OV_FIETS,Yes
Houten Castellum,htnc001,34,1697768406,OV_FIETS,No
Voorhout,vh001,4,1697768406,OV_FIETS,Yes
Tilburg Reeshof,tbr001,0,1697768406,OV_FIETS,Yes
Harderwijk,hd001,41,1697768406,OV_FIETS,No
Utrecht P+R Westraven,ut007,15,1697768406,OV_FIETS,Yes
Den Haag HS,gv001,37,1697768406,OV_FIETS,No
Heerhugowaard,hwd003,28,1697768406,OV_FIETS,No
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,16,1697768406,OV_FIETS,No
Deventer Boerhavelaan,dv003,19,1697768406,OV_FIETS,Yes
Uden,Ow002,8,1697768406,OV_FIETS,Yes
Deventer,dv001,124,1697768406,OV_FIETS,No
"Leiden Centraal, Centrumzijde",ledn002,26,1697768406,OV_FIETS,No
Helmond Brandevoort,hmbv001,4,1697768406,OV_FIETS,Yes
Den Helder Zuid,hdrz001,4,1697768406,OV_FIETS,Yes
Castricum,cas002,54,1697768406,OV_FIETS,No
Sneek,sk001,3,1697768406,OV_FIETS,Yes
Geldrop,Gp001,5,1697768406,OV_FIETS,Yes
Oudenbosch,odb001,4,1697768406,OV_FIETS,Yes
Anna Paulowna,ana001,3,1697768406,OV_FIETS,Yes
Goes,gs003,20,1697768406,OV_FIETS,No
