description,locationCode,rentalBikes,fetchTime,type,open
Utrecht Terwijde,utt001,2,1692392802,OV_FIETS,Yes
Brummen,bmn001,3,1692392802,OV_FIETS,Yes
Ermelo,eml001,0,1692392802,OV_FIETS,Unknown
Ravenstein,Rvs001,5,1692392802,OV_FIETS,Yes
Nijmegen Goffert,nmgo001,3,1692392802,OV_FIETS,Yes
Lochem,lc001,6,1692392802,OV_FIETS,Yes
Bergen op Zoom,bgn002,26,1692392802,OV_FIETS,Yes
Oldenzaal,odz001,2,1692392802,OV_FIETS,Yes
Cuijk,ck001,19,1692392802,OV_FIETS,Yes
Veenendaal-De klomp,klp001,19,1692392802,OV_FIETS,Yes
Vroomshoop,vhp001,2,1692392802,OV_FIETS,Yes
Best,bet001,24,1692392802,OV_FIETS,No
Winterswijk,ww001,2,1692392802,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb003,14,1692392802,OV_FIETS,Yes
Boxtel - Kluis,btl004,0,1692392802,OV_FIETS,Yes
Zuidhorn,Zh001,6,1692392802,OV_FIETS,Yes
Houten Castellum,htnc001,35,1692392802,OV_FIETS,Yes
Voorhout,vh001,4,1692392802,OV_FIETS,Yes
Tilburg Reeshof,tbr001,1,1692392802,OV_FIETS,Yes
Harderwijk,hd001,19,1692392802,OV_FIETS,Yes
Utrecht P+R Westraven,ut007,13,1692392802,OV_FIETS,Yes
Den Haag HS,gv001,18,1692392802,OV_FIETS,Yes
Heerhugowaard,hwd003,22,1692392802,OV_FIETS,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,3,1692392802,OV_FIETS,Yes
Deventer Boerhavelaan,dv003,18,1692392802,OV_FIETS,Yes
Uden,Ow002,8,1692392802,OV_FIETS,Yes
Deventer,dv001,91,1692392802,OV_FIETS,Yes
"Leiden Centraal, Centrumzijde",ledn002,68,1692392802,OV_FIETS,No
Helmond Brandevoort,hmbv001,4,1692392802,OV_FIETS,Yes
Den Helder Zuid,hdrz001,5,1692392802,OV_FIETS,Yes
Castricum,cas002,31,1692392802,OV_FIETS,Yes
Sneek,sk001,4,1692392802,OV_FIETS,Yes
Geldrop,Gp001,5,1692392802,OV_FIETS,Yes
Oudenbosch,odb001,6,1692392802,OV_FIETS,Yes
Anna Paulowna,ana001,0,1692392802,OV_FIETS,Yes
Goes,gs003,22,1692392802,OV_FIETS,Yes
Amersfoort Schothorst,amfs001,18,1692392802,OV_FIETS,Yes
Roosendaal,rsd002,43,1692392802,OV_FIETS,Yes
OV-ebike Arnhem Centrum,ah003,16,1692392802,OV_FIETS,Yes
Gilze Rijen,gz001,7,1692392802,OV_FIETS,Yes
Halfweg Zwanenburg,hwzb001,6,1692392802,OV_FIETS,Yes
Hoorn Kersenboogerd,hnk001,0,1692392802,OV_FIETS,Yes
Hoorn,hn001,39,1692392802,OV_FIETS,Yes
Rotterdam Kralingse Zoom,Rta003,19,1692392802,OV_FIETS,Yes
Boskoop,bsk001,3,1692392802,OV_FIETS,Yes
Rijssen,rsn001,1,1692392802,OV_FIETS,Yes
Venlo,vl001,6,1692392802,OV_FIETS,Yes
Ommen,omn001,4,1692392802,OV_FIETS,Yes
Culemborg,cl003,14,1692392802,OV_FIETS,Yes
Groningen Noord,Gnn001,0,1692392802,OV_FIETS,Yes
Eindhoven Strijp-S,ehs001,0,1692392802,OV_FIETS,Yes
Haarlem Spaarnwoude,hlms001,2,1692392802,OV_FIETS,Yes
Voorburg,vb002,23,1692392802,OV_FIETS,Yes
Soest Zuid,stz001,1,1692392802,OV_FIETS,Yes
Haren,HRN002,2,1692392802,OV_FIETS,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,17,1692392802,OV_FIETS,Yes
Maarheeze,mz001,4,1692392802,OV_FIETS,Yes
Maastricht Randwyck,mtr001,4,1692392802,OV_FIETS,Yes
Amsterdam Muiderpoort,asdm001,12,1692392802,OV_FIETS,Yes
Dieren,dr001,2,1692392802,OV_FIETS,Yes
Wolfheze,wf001,4,1692392802,OV_FIETS,Yes
Meerssen,mes001,2,1692392802,OV_FIETS,Yes
Dordrecht,ddr001,53,1692392802,OV_FIETS,Yes
Maassluis,mss001,10,1692392802,OV_FIETS,Yes
Weesp,wp001,28,1692392802,OV_FIETS,Yes
Vierlingsbeek,vlb001,4,1692392802,OV_FIETS,Yes
Amsterdam Sloterdijk,ass001,107,1692392802,OV_FIETS,Yes
Gorinchem,gr001,1,1692392802,OV_FIETS,Yes
Rotterdam Alexander,rta001,6,1692392802,OV_FIETS,Yes
Valkenburg,vk001,5,1692392802,OV_FIETS,Yes
Almelo,aml002,18,1692392802,OV_FIETS,Yes
Bloemendaal,bll001,4,1692392802,OV_FIETS,Yes
Etten-Leur,etn001,4,1692392802,OV_FIETS,Yes
Heiloo,hlo001,4,1692392802,OV_FIETS,Yes
"Leiden Centraal,Uitgang LUMC",ledn001,133,1692392802,OV_FIETS,Yes
Purmerend Overwhere,pmo001,3,1692392802,OV_FIETS,Yes
Lelystad Centrum,lls003,12,1692392802,OV_FIETS,Yes
Utrecht Centraal Jaarbeursplein,ut016,389,1692392802,OV_FIETS,Yes
Zwolle Hanzeland,zl003,26,1692392802,OV_FIETS,Yes
Holten,hon001,2,1692392802,OV_FIETS,Yes
Wijhe,wh001,2,1692392802,OV_FIETS,Yes
Breda Prinsenbeek,bdpb001,8,1692392802,OV_FIETS,Yes
Zwolle,zl004,269,1692392802,OV_FIETS,Yes
Nijmegen,nm001,180,1692392802,OV_FIETS,Yes
Bovenkarspel-Grootebroek,bkg001,3,1692392802,OV_FIETS,Yes
OV-ebike Driebergen-Zeist,db003,18,1692392802,OV_FIETS,Yes
Zeist,db002,21,1692392802,OV_FIETS,Yes
Driebergen-Zeist,db001,121,1692392802,OV_FIETS,Yes
Echt,ec001,5,1692392802,OV_FIETS,Yes
Raalte,rat001,0,1692392802,OV_FIETS,Yes
