description,locationCode,rentalBikes,fetchTime,open
Utrecht Terwijde,utt001,2,1688915267,Yes
Eindhoven Noordzijde,,86,1665662115,Yes
Brummen,bmn001,4,1688915267,Yes
Ermelo,eml001,3,1688915267,Unknown
Ravenstein,Rvs001,4,1688915267,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR001,54,1684854854,Yes
Bergen op Zoom,bgn001,19,1678694969,Yes
Lochem,lc001,6,1688915267,Yes
Schagen,sgn001,6,1688915267,Yes
Oldenzaal,odz001,0,1688915267,Yes
Cuijk,ck001,14,1688915267,Yes
Goes,gs003,13,1688915267,Yes
Vroomshoop,vhp001,4,1688915267,Yes
Best,bet001,17,1688915267,No
Winterswijk,ww001,2,1688915267,Yes
Amsterdam Bijlmer ArenA,asb003,20,1688915267,Yes
Utrecht Centraal Jaarbeursplein,ut016,407,1688915267,Yes
Zuidhorn,Zh001,7,1688915267,Yes
Soestdijk,sd001,2,1688915267,Yes
Utrecht Vaartsche Rijn Oosterkade,ut019,23,1683629913,Yes
Utrecht Janskerkhof,ut018,2,1688915267,Yes
Utrecht Vredenburg,ut006,29,1677604114,Yes
Harderwijk,hd001,17,1688915267,Yes
Zwijndrecht,zwd002,28,1675240492,Yes
Hengelo,hgl002,11,1688915267,Yes
Maarheeze,mz001,4,1688915267,Yes
Den Haag HS,gv001,50,1688915267,Yes
Heerhugowaard,hwd003,15,1688915267,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,13,1688915267,Yes
Deventer Boerhavelaan,dv003,20,1688915267,Yes
Uden,Ow002,8,1688915267,Yes
Deventer,dv001,102,1688915267,Yes
Steenwijk,swk001,10,1671526428,Yes
Helmond Brandevoort,hmbv001,3,1688915267,Yes
Den Helder Zuid,hdrz001,1,1688915267,Yes
"Leiden Centraal,Uitgang LUMC",ledn001,161,1688915267,Yes
Sneek,sk001,1,1688915267,Yes
Geldrop,Gp001,3,1688915267,Yes
Oudenbosch,odb001,3,1688915267,Yes
Anna Paulowna,ana001,1,1688915267,Yes
Horst Sevenum,hrt001,4,1688915267,Yes
Amersfoort Schothorst,amfs001,23,1688915267,Yes
Roosendaal,rsd003,47,1678695411,Yes
Roosendaal,rsd002,44,1688915267,Yes
OV-ebike Arnhem Centrum,ah003,11,1688915267,Yes
Gilze Rijen,gz001,3,1688915267,Yes
Emmen,emn001,19,1688915267,No
Halfweg Zwanenburg,hwzb001,1,1688915267,Yes
Hoorn Kersenboogerd,hnk001,3,1688915267,Yes
Hoorn,hn001,39,1688915267,Yes
Rotterdam Kralingse Zoom,Rta003,15,1688915267,Yes
Rhenen,rhn001,1,1688915267,Yes
Rijssen,rsn001,5,1688915267,Yes
Venlo,vl001,35,1688915267,Yes
Ommen,omn001,2,1688915267,Yes
Culemborg,cl002,13,1677764847,Yes
Culemborg,cl003,7,1688915267,Yes
Groningen Noord,Gnn001,5,1688915267,Yes
Culemborg,cl001,,1638967434,Yes
Voorburg,vb001,28,1675153509,Yes
Eindhoven Strijp-S,ehs001,0,1688915267,Yes
Haarlem Spaarnwoude,hlms001,0,1688915267,Yes
Dordrecht,ddr001,22,1688915267,Yes
Soest Zuid,stz001,2,1688915267,Yes
Haren,HRN002,0,1688915267,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,17,1688915267,Yes
Utrecht P+R Westraven,ut007,10,1688915267,Yes
Maastricht Randwyck,mtr001,6,1688915267,Yes
Amsterdam Muiderpoort,asdm001,11,1688915267,Yes
Castricum,cas001,54,1667467212,Yes
Wolfheze,wf001,4,1688915267,Yes
Meerssen,mes001,2,1688915267,Yes
Maassluis,mss001,10,1688915267,Yes
Weesp,wp001,21,1688915267,Yes
Weert,wt003,15,1688915267,Yes
Vierlingsbeek,vlb001,4,1688915267,Yes
Amsterdam Sloterdijk,ass001,41,1688915267,Yes
Gorinchem,gr001,0,1688915267,Yes
Rotterdam Alexander,rta001,1,1688915267,Yes
Valkenburg,vk001,4,1688915267,Yes
Almelo,aml002,0,1688915267,Yes
Bloemendaal,bll001,0,1688915267,Yes
Etten-Leur,etn001,2,1688915267,Yes
Almelo,aml001,19,1678718208,Yes
Heiloo,hlo001,3,1688915267,Yes
Utrecht Mariaplaats,ut014,14,1677604114,Yes
Purmerend Overwhere,pmo001,4,1688915267,Yes
Doetinchem,dtc001,1,1688915267,Yes
Lelystad Centrum,lls002,15,1666626240,Yes
Nijmegen Goffert,nmgo001,5,1688915267,Yes
Zandvoort Zilt-Bikes,zvt002,,1642524080,Yes
Zwolle Hanzeland/Zuidzijde,zl002,,1674641829,Yes
Holten,hon001,8,1688915267,Yes
Boskoop,bk001,3,1683629913,Yes
Breda Prinsenbeek,bdpb001,6,1688915267,Yes
Zwolle,zl004,225,1688915267,Yes
Baarn,brn002,20,1688915267,Yes
Nijmegen,nm001,137,1688915267,Yes
Bovenkarspel-Grootebroek,bkg001,3,1688915267,Yes
Dieren,dr001,3,1688915267,Yes
Zeist,db002,17,1688915267,Yes
Driebergen-Zeist,db001,119,1688915267,Yes
Echt,ec001,6,1688915267,Yes
Lelystad Centrum,lls003,9,1688915267,Yes
Middelburg,mdb002,17,1688915267,Yes
Raalte,rat001,3,1688915267,Yes
Dalfsen,dl001,0,1688915267,Yes
Rotterdam Slinge,rtd904,3,1688915267,Yes
Boxmeer,Bmr001,11,1688915267,Yes
Pijnacker,rtd906,3,1688915267,Yes
Veenendaal,vndc002,2,1659359068,Yes
Nunspeet,Ns001,4,1688915267,Unknown
Voorhout,vh001,4,1688915267,Yes
Maastricht Noord,mtn001,9,1688915267,Yes
Doetinchem de Huet,dtch001,4,1688915267,Yes
Delden,ddn001,1,1688915267,Yes
Muiden P&R,wp901,8,1688915267,Yes
't Harde,Hde001,1,1688915267,Yes
Hengelo Gezondheidspark,hglg001,4,1688915267,Yes
Bodegraven,bdg001,1,1688915267,Yes
Utrecht Overvecht,uto001,4,1688915267,Yes
Hilversum Sportpark ,hvsp001,12,1688915267,Yes
Delft Zuid,dtz001,,1688915267,Yes
Vught,Vg001,3,1688915267,Yes
Amsterdam Zuid Zuidplein,asdz001,75,1688915267,Yes
Heemskerk,hk001,4,1688915267,Yes
Amsterdam Zuid Mahlerplein,asdz003,86,1688915267,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR002,0,1688915267,Yes
Utrecht Zuilen,utzl001,6,1688915267,Yes
Alphen aan den Rijn,apn001,28,1688915267,Yes
Rotterdam Blaak,rtb001,2,1688915267,Yes
Vriezenveen,vz001,4,1688915267,Yes
Zwijndrecht,zwd003,26,1688915267,Yes
OV-ebike Driebergen-Zeist,db003,22,1688915267,Yes
Eindhoven Noordzijde,ehv003,2,1688915267,No
Eindhoven Zuidzijde (centrum),ehv002,152,1688915267,Yes
Winschoten,ws001,5,1688915267,Yes
Veghel,Btl003,6,1688915267,Yes
Naarden-Bussum,ndb002,44,1674039176,Yes
Naarden-Bussum,ndb003,36,1688915267,Yes
Woerden,wd001,37,1688915267,Yes
s-Hertogenbosch,ht001,175,1688915267,Yes
Baarn,brn001,,1666857504,Yes
Overveen,ovn001,2,1688915267,Yes
Waalwijk,ht002,6,1688915267,Yes
Maarssen,mas003,22,1688915267,Yes
Kerkrade Centrum,krd001,4,1688915267,Yes
Venray,vry001,18,1688915267,Yes
