description,locationCode,rentalBikes,fetchTime,open
Utrecht Terwijde,utt001,0,1688987261,Yes
Eindhoven Noordzijde,,86,1665662115,Yes
Brummen,bmn001,3,1688987261,Yes
Ermelo,eml001,2,1688987261,Unknown
Ravenstein,Rvs001,4,1688987261,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR001,54,1684854854,Yes
Bergen op Zoom,bgn001,19,1678694969,Yes
Lochem,lc001,2,1688987261,Yes
Schagen,sgn001,6,1688987261,Yes
Oldenzaal,odz001,0,1688987261,Yes
Cuijk,ck001,10,1688987261,Yes
Goes,gs003,3,1688987261,Yes
Vroomshoop,vhp001,4,1688987261,Yes
Best,bet001,0,1688987261,Yes
Winterswijk,ww001,2,1688987261,Yes
Amsterdam Bijlmer ArenA,asb003,6,1688987261,Yes
Utrecht Centraal Jaarbeursplein,ut016,2,1688987261,Yes
Zuidhorn,Zh001,6,1688987261,Yes
Soestdijk,sd001,1,1688987261,Yes
Utrecht Vaartsche Rijn Oosterkade,ut019,23,1683629913,Yes
Utrecht Janskerkhof,ut018,1,1688987261,Yes
Utrecht Vredenburg,ut006,29,1677604114,Yes
Harderwijk,hd001,12,1688987261,Yes
Zwijndrecht,zwd002,28,1675240492,Yes
Hengelo,hgl002,4,1688987261,Yes
Maarheeze,mz001,0,1688987261,Yes
Den Haag HS,gv001,26,1688987261,Yes
Heerhugowaard,hwd003,10,1688987261,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,8,1688987261,Yes
Deventer Boerhavelaan,dv003,20,1688987261,Yes
Uden,Ow002,8,1688987261,Yes
Deventer,dv001,50,1688987261,Yes
Steenwijk,swk001,10,1671526428,Yes
Helmond Brandevoort,hmbv001,2,1688987261,Yes
Den Helder Zuid,hdrz001,0,1688987261,Yes
"Leiden Centraal,Uitgang LUMC",ledn001,18,1688987261,Yes
Sneek,sk001,1,1688987261,Yes
Geldrop,Gp001,1,1688987261,Yes
Oudenbosch,odb001,1,1688987261,Yes
Anna Paulowna,ana001,0,1688987261,Yes
Horst Sevenum,hrt001,1,1688987261,Yes
Amersfoort Schothorst,amfs001,2,1688987261,Yes
Roosendaal,rsd003,47,1678695411,Yes
Roosendaal,rsd002,29,1688987261,Yes
OV-ebike Arnhem Centrum,ah003,0,1688987261,Yes
Gilze Rijen,gz001,3,1688987261,Yes
Emmen,emn001,13,1688987261,Yes
Halfweg Zwanenburg,hwzb001,0,1688987261,Yes
Hoorn Kersenboogerd,hnk001,4,1688987261,Yes
Hoorn,hn001,16,1688987261,Yes
Rotterdam Kralingse Zoom,Rta003,15,1688987261,Yes
Rhenen,rhn001,2,1688987261,Yes
Rijssen,rsn001,1,1688987261,Yes
Venlo,vl001,29,1688987261,Yes
Ommen,omn001,2,1688987261,Yes
Culemborg,cl002,13,1677764847,Yes
Culemborg,cl003,3,1688987261,Yes
Groningen Noord,Gnn001,4,1688987261,Yes
Culemborg,cl001,,1638967434,Yes
Voorburg,vb001,28,1675153509,Yes
Eindhoven Strijp-S,ehs001,0,1688987261,Yes
Haarlem Spaarnwoude,hlms001,2,1688987261,Yes
Dordrecht,ddr001,5,1688987261,Yes
Soest Zuid,stz001,2,1688987261,Yes
Haren,HRN002,0,1688987261,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,9,1688987261,Yes
Utrecht P+R Westraven,ut007,10,1688987261,Yes
Maastricht Randwyck,mtr001,2,1688987261,Yes
Amsterdam Muiderpoort,asdm001,2,1688987261,Yes
Castricum,cas001,54,1667467212,Yes
Wolfheze,wf001,2,1688987261,Yes
Meerssen,mes001,4,1688987261,Yes
Maassluis,mss001,10,1688987261,Yes
Weesp,wp001,5,1688987261,Yes
Weert,wt003,0,1688987261,Yes
Vierlingsbeek,vlb001,6,1688987261,Yes
Amsterdam Sloterdijk,ass001,9,1688987261,Yes
Gorinchem,gr001,1,1688987261,Yes
Rotterdam Alexander,rta001,1,1688987261,Yes
Valkenburg,vk001,1,1688987261,Yes
Almelo,aml002,0,1688987261,Yes
Bloemendaal,bll001,0,1688987261,Yes
Etten-Leur,etn001,2,1688987261,Yes
Almelo,aml001,19,1678718208,Yes
Heiloo,hlo001,1,1688987261,Yes
Utrecht Mariaplaats,ut014,14,1677604114,Yes
Purmerend Overwhere,pmo001,2,1688987261,Yes
Doetinchem,dtc001,0,1688987261,Yes
Lelystad Centrum,lls002,15,1666626240,Yes
Nijmegen Goffert,nmgo001,1,1688987261,Yes
Zandvoort Zilt-Bikes,zvt002,,1642524080,Yes
Zwolle Hanzeland/Zuidzijde,zl002,,1674641829,Yes
Holten,hon001,7,1688987261,Yes
Boskoop,bk001,3,1683629913,Yes
Breda Prinsenbeek,bdpb001,3,1688987261,Yes
Zwolle,zl004,25,1688987261,Yes
Baarn,brn002,12,1688987261,Yes
Nijmegen,nm001,82,1688987261,Yes
Bovenkarspel-Grootebroek,bkg001,4,1688987261,Yes
Dieren,dr001,2,1688987261,Yes
Zeist,db002,15,1688987261,Yes
Driebergen-Zeist,db001,46,1688987261,Yes
Echt,ec001,1,1688987261,Yes
Lelystad Centrum,lls003,0,1688987261,Yes
Middelburg,mdb002,4,1688987261,Yes
Raalte,rat001,1,1688987261,Yes
Dalfsen,dl001,2,1688987261,Yes
Rotterdam Slinge,rtd904,0,1688987261,Yes
Boxmeer,Bmr001,8,1688987261,Yes
Pijnacker,rtd906,3,1688987261,Yes
Veenendaal,vndc002,2,1659359068,Yes
Nunspeet,Ns001,1,1688987261,Unknown
Voorhout,vh001,2,1688987261,Yes
Maastricht Noord,mtn001,9,1688987261,Yes
Doetinchem de Huet,dtch001,0,1688987261,Yes
Delden,ddn001,0,1688987261,Yes
Muiden P&R,wp901,4,1688987261,Yes
't Harde,Hde001,0,1688987261,Yes
Hengelo Gezondheidspark,hglg001,3,1688987261,Yes
Bodegraven,bdg001,0,1688987261,Yes
Utrecht Overvecht,uto001,0,1688987261,Yes
Hilversum Sportpark ,hvsp001,11,1688987261,Yes
Delft Zuid,dtz001,,1688987261,Yes
Vught,Vg001,0,1688987261,Yes
Amsterdam Zuid Zuidplein,asdz001,5,1688987261,Yes
Heemskerk,hk001,4,1688987261,Yes
Amsterdam Zuid Mahlerplein,asdz003,16,1688987261,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR002,0,1688987261,Yes
Utrecht Zuilen,utzl001,2,1688987261,Yes
Alphen aan den Rijn,apn001,42,1688987261,Yes
Rotterdam Blaak,rtb001,2,1688987261,Yes
Vriezenveen,vz001,3,1688987261,Yes
Zwijndrecht,zwd003,23,1688987261,Yes
OV-ebike Driebergen-Zeist,db003,12,1688987261,Yes
Eindhoven Noordzijde,ehv003,0,1688987261,Yes
Eindhoven Zuidzijde (centrum),ehv002,16,1688987261,Yes
Winschoten,ws001,6,1688987261,Yes
Veghel,Btl003,5,1688987261,Yes
Naarden-Bussum,ndb002,44,1674039176,Yes
Naarden-Bussum,ndb003,19,1688987261,Yes
Woerden,wd001,28,1688987261,Yes
s-Hertogenbosch,ht001,6,1688987261,Yes
Baarn,brn001,,1666857504,Yes
Overveen,ovn001,2,1688987261,Yes
Waalwijk,ht002,2,1688987261,Yes
Maarssen,mas003,8,1688987261,Yes
Kerkrade Centrum,krd001,2,1688987261,Yes
Venray,vry001,16,1688987261,Yes
Eindhoven Strijp-S,ehb001,1,1683629913,Yes
Veenendaal West,vndw001,7,1688987261,Yes
Aalten,atn001,5,1688987261,Yes
Haarlem Fiets Inn,hlm002,39,1688987261,Yes
Bilthoven,bhv002,1,1688987261,Yes
Purmerend,pmr001,1,1688987261,Yes
Bilthoven,bhv001,,1666857504,Yes
Hardenberg,hdb001,1,1688987261,Yes
Beverwijk,bv002,20,1688987261,Yes
Boxtel,btl001,10,1688987261,Yes
Hoogezand Sappemeer,Hgz001,0,1688987261,Yes
Heerhugowaard,hwd002,23,1667896108,Yes
Amersfoort Vathorst,avat001,2,1688987261,Yes
Roermond,rm001,30,1688987261,Yes
Krommenie-Assendelft,kma001,3,1688987261,Yes
Heerlen,hrl001,29,1678868445,Yes
Schiphol,shl001,3,1688987261,Yes
Rosmalen,rs001,2,1688987261,Yes
Utrecht P+R Science Park (De Uithof) ZS,ut908,10,1666164653,Yes
Vianen OV-fiets Carrousel,ut905,24,1688987261,Yes
Utrecht P+R Papendorp,ut904,1,1688987261,Yes
Utrecht Stadhuis,ut003,8,1677604114,Yes
P + R Utrecht Science Park (De Uithof),ut906,9,1688987261,Yes
Hengelo,hgl001,,1675688931,Yes
Arnhem Centrum,ah001,0,1688987261,Yes
Utrecht Rijnsweerd,ut903,9,1688987261,Yes
Alkmaar,amr001,16,1688987261,Yes
Vlaardingen Centrum,vdg001,,1642524080,Yes
Rotterdam Centraal,rtd001,181,1688987261,Yes
Tilburg West Universiteit,tbu001,11,1688987261,Yes
Sittard,std002,17,1688987261,Yes
"Leiden Centraal, Centrumzijde",ledn002,6,1688987261,Yes
Gouda Goverwelle,gdg001,2,1688987261,Yes
Den Haag Laan van NOI,laa001,0,1688987261,Yes
Alkmaar Noord,amrn002,23,1688987261,Yes
Zandvoort,zvt001,12,1688987261,Yes
Uitgeest,utg001,1,1688987261,Yes
Alkmaar Noord,amrn003,29,1667467212,Yes
Den Helder,hdr003,6,1667896108,Yes
Nootdorp,gvc901,3,1688987261,Yes
Houten,htn001,4,1688987261,Yes
Steenwijk,swk002,1,1688987261,Yes
Lage Zwaluwe,Zlw001,3,1688987261,Yes
