description,locationCode,rentalBikes,fetchTime,type,open
Utrecht Terwijde,utt001,3,1693600510,OV_FIETS,Yes
Brummen,bmn001,3,1693600510,OV_FIETS,Yes
Ermelo,eml001,2,1693600510,OV_FIETS,Unknown
Ravenstein,Rvs001,6,1693600510,OV_FIETS,Yes
Nijmegen Goffert,nmgo001,1,1693600510,OV_FIETS,Yes
Lochem,lc001,5,1693600510,OV_FIETS,Yes
Bergen op Zoom,bgn002,18,1693600510,OV_FIETS,Yes
Oldenzaal,odz001,0,1693600510,OV_FIETS,Yes
Cuijk,ck001,14,1693600510,OV_FIETS,Yes
Veenendaal-De klomp,klp001,21,1693600510,OV_FIETS,Yes
Vroomshoop,vhp001,2,1693600510,OV_FIETS,Yes
Best,bet001,20,1693600510,OV_FIETS,No
Winterswijk,ww001,4,1693600510,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb003,18,1693600510,OV_FIETS,Yes
Boxtel - Kluis,btl004,0,1693600510,OV_FIETS,Yes
Zuidhorn,Zh001,3,1693600510,OV_FIETS,Yes
Houten Castellum,htnc001,36,1693600510,OV_FIETS,Yes
Voorhout,vh001,3,1693600510,OV_FIETS,Yes
Tilburg Reeshof,tbr001,,1693600510,OV_FIETS,Yes
Harderwijk,hd001,30,1693600510,OV_FIETS,Yes
Utrecht P+R Westraven,ut007,13,1693600510,OV_FIETS,Yes
Den Haag HS,gv001,1,1693600510,OV_FIETS,Yes
Heerhugowaard,hwd003,17,1693600510,OV_FIETS,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,7,1693600510,OV_FIETS,Yes
Deventer Boerhavelaan,dv003,20,1693600510,OV_FIETS,Yes
Uden,Ow002,6,1693600510,OV_FIETS,Yes
Deventer,dv001,73,1693600510,OV_FIETS,Yes
"Leiden Centraal, Centrumzijde",ledn002,93,1693600510,OV_FIETS,No
Helmond Brandevoort,hmbv001,1,1693600510,OV_FIETS,Yes
Den Helder Zuid,hdrz001,4,1693600510,OV_FIETS,Yes
Castricum,cas002,36,1693600510,OV_FIETS,Yes
Sneek,sk001,2,1693600510,OV_FIETS,Yes
Geldrop,Gp001,2,1693600510,OV_FIETS,Yes
Oudenbosch,odb001,3,1693600510,OV_FIETS,Yes
Anna Paulowna,ana001,0,1693600510,OV_FIETS,Yes
