description,locationCode,rentalBikes,fetchTime,type,open
Utrecht Terwijde,utt001,6,1693179315,OV_FIETS,Yes
Brummen,bmn001,5,1693179315,OV_FIETS,Yes
Ermelo,eml001,,1693179315,OV_FIETS,Unknown
Ravenstein,Rvs001,5,1693179315,OV_FIETS,Yes
Nijmegen Goffert,nmgo001,3,1693179315,OV_FIETS,Yes
Lochem,lc001,4,1693179315,OV_FIETS,Yes
Bergen op Zoom,bgn002,22,1693179315,OV_FIETS,No
Oldenzaal,odz001,1,1693179315,OV_FIETS,Yes
Cuijk,ck001,15,1693179315,OV_FIETS,Yes
Veenendaal-De klomp,klp001,13,1693179315,OV_FIETS,Yes
Vroomshoop,vhp001,4,1693179315,OV_FIETS,Yes
Best,bet001,19,1693179315,OV_FIETS,No
Winterswijk,ww001,3,1693179315,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb003,15,1693179315,OV_FIETS,No
Boxtel - Kluis,btl004,10,1693179315,OV_FIETS,Yes
Zuidhorn,Zh001,8,1693179315,OV_FIETS,Yes
Houten Castellum,htnc001,37,1693179315,OV_FIETS,No
Voorhout,vh001,4,1693179315,OV_FIETS,Yes
Tilburg Reeshof,tbr001,3,1693179315,OV_FIETS,Yes
Harderwijk,hd001,45,1693179315,OV_FIETS,No
Utrecht P+R Westraven,ut007,13,1693179315,OV_FIETS,Yes
Den Haag HS,gv001,56,1693179315,OV_FIETS,Yes
Heerhugowaard,hwd003,19,1693179315,OV_FIETS,No
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,15,1693179315,OV_FIETS,Yes
Deventer Boerhavelaan,dv003,20,1693179315,OV_FIETS,Yes
Uden,Ow002,4,1693179315,OV_FIETS,Yes
Deventer,dv001,127,1693179315,OV_FIETS,No
"Leiden Centraal, Centrumzijde",ledn002,51,1693179315,OV_FIETS,No
Helmond Brandevoort,hmbv001,2,1693179315,OV_FIETS,Yes
Den Helder Zuid,hdrz001,2,1693179315,OV_FIETS,Yes
Castricum,cas002,42,1693179315,OV_FIETS,No
Sneek,sk001,4,1693179315,OV_FIETS,Yes
Geldrop,Gp001,5,1693179315,OV_FIETS,Yes
Oudenbosch,odb001,4,1693179315,OV_FIETS,Yes
Anna Paulowna,ana001,2,1693179315,OV_FIETS,Yes
Goes,gs003,17,1693179315,OV_FIETS,No
Amersfoort Schothorst,amfs001,21,1693179315,OV_FIETS,No
Roosendaal,rsd002,50,1693179315,OV_FIETS,No
OV-ebike Arnhem Centrum,ah003,19,1693179315,OV_FIETS,Yes
Gilze Rijen,gz001,5,1693179315,OV_FIETS,Yes
Halfweg Zwanenburg,hwzb001,5,1693179315,OV_FIETS,Yes
Hoorn Kersenboogerd,hnk001,2,1693179315,OV_FIETS,Yes
Hoorn,hn001,54,1693179315,OV_FIETS,No
Rotterdam Kralingse Zoom,Rta003,10,1693179315,OV_FIETS,Yes
Boskoop,bsk001,2,1693179315,OV_FIETS,Yes
Rijssen,rsn001,7,1693179315,OV_FIETS,Yes
Venlo,vl001,58,1693179315,OV_FIETS,No
Ommen,omn001,2,1693179315,OV_FIETS,Yes
Culemborg,cl003,20,1693179315,OV_FIETS,No
Groningen Noord,Gnn001,1,1693179315,OV_FIETS,Yes
Eindhoven Strijp-S,ehs001,2,1693179315,OV_FIETS,Yes
Haarlem Spaarnwoude,hlms001,3,1693179315,OV_FIETS,Yes
Voorburg,vb002,27,1693179315,OV_FIETS,No
Soest Zuid,stz001,2,1693179315,OV_FIETS,Yes
Haren,HRN002,5,1693179315,OV_FIETS,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,19,1693179315,OV_FIETS,Yes
Maarheeze,mz001,4,1693179315,OV_FIETS,Yes
Maastricht Randwyck,mtr001,3,1693179315,OV_FIETS,Yes
Amsterdam Muiderpoort,asdm001,11,1693179315,OV_FIETS,No
Dieren,dr001,0,1693179315,OV_FIETS,Yes
Wolfheze,wf001,4,1693179315,OV_FIETS,Yes
Meerssen,mes001,3,1693179315,OV_FIETS,Yes
Dordrecht,ddr001,50,1693179315,OV_FIETS,Yes
Maassluis,mss001,8,1693179315,OV_FIETS,No
Weesp,wp001,36,1693179315,OV_FIETS,No
Vierlingsbeek,vlb001,3,1693179315,OV_FIETS,Yes
