description,locationCode,rentalBikes,fetchTime,type,open
Utrecht Terwijde,utt001,4,1699778115,OV_FIETS,Yes
Brummen,bmn001,5,1699778115,OV_FIETS,Yes
Ermelo,eml001,2,1699778115,OV_FIETS,Unknown
Ravenstein,Rvs001,3,1699778115,OV_FIETS,Yes
Nijmegen Goffert,nmgo001,2,1699778115,OV_FIETS,Yes
Lochem,lc001,3,1699778115,OV_FIETS,Yes
Bergen op Zoom,bgn002,8,1699778115,OV_FIETS,Yes
Oldenzaal,odz001,2,1699778115,OV_FIETS,Yes
Cuijk,ck001,5,1699778115,OV_FIETS,Yes
Veenendaal-De klomp,klp001,18,1699778115,OV_FIETS,Yes
Vroomshoop,vhp001,4,1699778115,OV_FIETS,Yes
Best,bet001,26,1699778115,OV_FIETS,No
Winterswijk,ww001,1,1699778115,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb003,0,1695282760,OV_FIETS,Yes
Boxtel - Kluis,btl004,3,1699778115,OV_FIETS,Yes
Zuidhorn,Zh001,6,1699778115,OV_FIETS,Yes
Houten Castellum,htnc001,37,1699778115,OV_FIETS,Yes
Voorhout,vh001,0,1699778115,OV_FIETS,Yes
Tilburg Reeshof,tbr001,0,1699778115,OV_FIETS,Yes
Harderwijk,hd001,39,1699778115,OV_FIETS,Yes
Utrecht P+R Westraven,ut007,15,1699778115,OV_FIETS,Yes
Den Haag HS,gv001,29,1699778115,OV_FIETS,Yes
Heerhugowaard,hwd003,23,1699778115,OV_FIETS,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,13,1699778115,OV_FIETS,Yes
Deventer Boerhavelaan,dv003,19,1699778115,OV_FIETS,Yes
Uden,Ow002,6,1699778115,OV_FIETS,Yes
Deventer,dv001,93,1699778115,OV_FIETS,Yes
"Leiden Centraal, Centrumzijde",ledn002,23,1699778115,OV_FIETS,No
Helmond Brandevoort,hmbv001,2,1699778115,OV_FIETS,Yes
Den Helder Zuid,hdrz001,7,1699778115,OV_FIETS,Yes
Castricum,cas002,47,1699778115,OV_FIETS,Yes
Sneek,sk001,7,1699778115,OV_FIETS,Yes
Geldrop,Gp001,1,1699778115,OV_FIETS,Yes
Oudenbosch,odb001,3,1699778115,OV_FIETS,Yes
Anna Paulowna,ana001,1,1699778115,OV_FIETS,Yes
Goes,gs003,15,1699778115,OV_FIETS,Yes
Amersfoort Schothorst,amfs001,20,1699778115,OV_FIETS,Yes
Roosendaal,rsd002,27,1699778115,OV_FIETS,Yes
OV-ebike Arnhem Centrum,ah003,20,1699778115,OV_FIETS,Yes
Gilze Rijen,gz001,4,1699778115,OV_FIETS,Yes
Halfweg Zwanenburg,hwzb001,6,1699778115,OV_FIETS,Yes
Hoorn Kersenboogerd,hnk001,2,1699778115,OV_FIETS,Yes
Hoorn,hn001,43,1699778115,OV_FIETS,Yes
Rotterdam Kralingse Zoom,Rta003,17,1699778115,OV_FIETS,Yes
Boskoop,bsk001,0,1699778115,OV_FIETS,Yes
Rijssen,rsn001,5,1699778115,OV_FIETS,Yes
Venlo,vl001,34,1699778115,OV_FIETS,Yes
Ommen,omn001,3,1699778115,OV_FIETS,Yes
Culemborg,cl003,22,1699778115,OV_FIETS,Yes
Groningen Noord,Gnn001,0,1699778115,OV_FIETS,Yes
Eindhoven Strijp-S,ehs001,0,1699778115,OV_FIETS,Yes
Haarlem Spaarnwoude,hlms001,2,1699778115,OV_FIETS,Yes
Voorburg,vb002,24,1699778115,OV_FIETS,Yes
Soest Zuid,stz001,3,1699778115,OV_FIETS,Yes
Haren,HRN002,6,1699778115,OV_FIETS,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,17,1699778115,OV_FIETS,Yes
Maarheeze,mz001,4,1699778115,OV_FIETS,Yes
Maastricht Randwyck,mtr001,3,1699778115,OV_FIETS,Yes
Amsterdam Muiderpoort,asdm001,2,1699778115,OV_FIETS,Yes
Dieren,dr001,0,1699778115,OV_FIETS,Yes
Wolfheze,wf001,0,1699778115,OV_FIETS,Yes
Meerssen,mes001,3,1699778115,OV_FIETS,Yes
Dordrecht,ddr001,28,1699778115,OV_FIETS,Yes
Maassluis,mss001,9,1699778115,OV_FIETS,Yes
Weesp,wp001,31,1699778115,OV_FIETS,No
Vierlingsbeek,vlb001,2,1699778115,OV_FIETS,Yes
Amsterdam Sloterdijk,ass001,82,1699778115,OV_FIETS,Yes
Gorinchem,gr001,,1699778115,OV_FIETS,Yes
Rotterdam Alexander,rta001,3,1699778115,OV_FIETS,Yes
Valkenburg,vk001,4,1699778115,OV_FIETS,Yes
