description,locationCode,rentalBikes,fetchTime,type,open
Utrecht Terwijde,utt001,1,1714228767,OV_FIETS,Yes
Brummen,bmn001,5,1714228767,OV_FIETS,Yes
Ermelo,eml001,1,1714228767,OV_FIETS,Unknown
Ravenstein,Rvs001,7,1714228767,OV_FIETS,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR001,8,1714228767,OV_FIETS,Yes
Nijmegen Goffert,nmgo001,0,1714228767,OV_FIETS,Yes
Lochem,lc001,1,1714228767,OV_FIETS,Yes
Bergen op Zoom,bgn002,10,1714228767,OV_FIETS,Yes
Oldenzaal,odz001,1,1714228767,OV_FIETS,Yes
Cuijk,ck001,15,1714228767,OV_FIETS,Yes
Veenendaal-De klomp,klp001,19,1714228767,OV_FIETS,Yes
Vroomshoop,vhp001,2,1714228767,OV_FIETS,Yes
Best,bet001,2,1714228767,OV_FIETS,No
Winterswijk,ww001,2,1714228767,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb003,0,1695282760,OV_FIETS,Yes
Boxtel - Kluis,btl004,1,1714228767,OV_FIETS,Yes
Zuidhorn,Zh001,4,1714228767,OV_FIETS,Yes
Houten Castellum,htnc001,38,1714228767,OV_FIETS,Yes
Voorhout,vh001,1,1714228767,OV_FIETS,Yes
Tilburg Reeshof,tbr001,3,1714228767,OV_FIETS,Yes
Harderwijk,hd001,15,1714228767,OV_FIETS,Yes
Utrecht P+R Westraven,ut007,8,1714228767,OV_FIETS,Yes
Den Haag HS,gv001,12,1714228767,OV_FIETS,Yes
Heerhugowaard,hwd003,24,1714228767,OV_FIETS,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,0,1714228767,OV_FIETS,Yes
Deventer Boerhavelaan,dv003,17,1714228767,OV_FIETS,Yes
Uden,Ow002,4,1714228767,OV_FIETS,Yes
Deventer,dv001,79,1714228767,OV_FIETS,Yes
"Leiden Centraal, Centrumzijde",ledn002,6,1714228767,OV_FIETS,No
Helmond Brandevoort,hmbv001,1,1714228767,OV_FIETS,Yes
Den Helder Zuid,hdrz001,2,1714228767,OV_FIETS,Yes
Castricum,cas002,36,1714228767,OV_FIETS,Yes
Sneek,sk001,5,1714228767,OV_FIETS,Yes
Geldrop,Gp001,0,1714228767,OV_FIETS,Yes
Oudenbosch,odb001,0,1714228767,OV_FIETS,Yes
Anna Paulowna,ana001,3,1714228767,OV_FIETS,Yes
Goes,gs003,21,1714228767,OV_FIETS,Yes
Amersfoort Schothorst,amfs001,11,1714228767,OV_FIETS,Yes
Roosendaal,rsd002,3,1714228767,OV_FIETS,Yes
OV-ebike Arnhem Centrum,ah003,8,1714228767,OV_FIETS,Yes
Gilze Rijen,gz001,4,1714228767,OV_FIETS,Yes
Halfweg Zwanenburg,hwzb001,5,1714228767,OV_FIETS,Yes
Hoorn Kersenboogerd,hnk001,2,1714228767,OV_FIETS,Yes
Hoorn,hn001,41,1714228767,OV_FIETS,Yes
Rotterdam Kralingse Zoom,Rta003,8,1714228767,OV_FIETS,Yes
Boskoop,bsk001,3,1714228767,OV_FIETS,Yes
Rijssen,rsn001,4,1714228767,OV_FIETS,Yes
Venlo,vl001,48,1714228767,OV_FIETS,Yes
Ommen,omn001,2,1714228767,OV_FIETS,Yes
Culemborg,cl003,11,1714228767,OV_FIETS,Yes
Groningen Noord,Gnn001,0,1714228767,OV_FIETS,Yes
Eindhoven Strijp-S,ehs001,0,1714228767,OV_FIETS,Yes
Haarlem Spaarnwoude,hlms001,3,1714228767,OV_FIETS,Yes
Voorburg,vb002,23,1714228767,OV_FIETS,Yes
